event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1850048,391,408,00:31.1,00:32.8,0,31,1.7,1,2,right_to_left,1,off_ball_run,2,coming_short,815170,H. Hershfelt,14,RM,59727,C. Krueger,8,RB,2333,Washington,-6.2,-11.27,4,half_space_right,2,middle_third,False,-8.73,-19.36,4,half_space_right,2,middle_third,False,8_7,396,3,drawing,0,0,0,1,create,9,medium_block,False,False,8.09,-107.37,4,sideway_right,False,False,17.79,2,running,5.46,4.72,-0.74,9.58,8.95,15.78,17.68,1.9,42.92,43.55,0.63,True,True,3,ahead,3,ahead,20.05,10.85,-12.95,-30.15,5,wide_right,2,middle_third,False,-13.72,-29.0,5,wide_right,2,middle_third,False,False,False,,False,False,0.0007,0.983,0.8485,True,True,0,False,,,,True,7,7,0,True,True,
1_1,1,1850048,560,605,00:48.0,00:52.5,0,48,4.5,1,2,right_to_left,1,off_ball_run,9,support,815172,H. Stainbrook,12,LM,815174,M. Morris,16,LW,2333,Washington,-7.52,8.97,3,center,2,middle_third,False,1.71,26.32,1,wide_left,2,middle_third,False,8_10,589,3,drawing,0,0,2,1,create,9,medium_block,False,False,19.37,61.99,3,sideway_left,True,False,15.77,2,running,3.59,13.13,9.54,14.77,26.7,22.29,24.99,2.7,37.73,25.8,-11.93,False,False,1,behind,1,behind,13.1,16.07,2.63,17.25,2,half_space_left,2,middle_third,False,15.74,34.16,1,wide_left,2,middle_third,False,False,False,,False,False,0.0008,0.8686,0.8361,True,False,1,False,,,,False,7,8,1,True,True,
1_2,2,1850048,594,618,00:51.4,00:53.8,0,51,2.4,1,2,right_to_left,1,off_ball_run,10,underlap,22730,G. Carle,2,LB,815174,M. Morris,16,LW,2333,Washington,10.2,28.74,1,wide_left,2,middle_third,False,23.76,30.8,1,wide_left,3,attacking_third,False,8_10,589,3,drawing,0,0,2,1,create,9,medium_block,False,False,13.73,8.64,1,forward,False,False,20.53,3,hsr,2.8,2.3,-0.5,24.61,30.17,14.41,6.41,-8.0,27.89,22.33,-5.56,False,False,1,behind,3,ahead,5.19,5.8,14.65,31.42,1,wide_left,2,middle_third,False,18.26,32.63,1,wide_left,3,attacking_third,False,True,True,False,False,True,0.0071,0.6093,0.9384,True,True,1,False,,,,True,4,6,2,True,True,True
1_3,3,1850048,614,646,00:53.4,00:56.6,0,53,3.2,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,62527,A. Hatch,19,CF,22730,G. Carle,2,LB,2333,Washington,27.22,17.96,2,half_space_left,3,attacking_third,False,43.68,19.79,2,half_space_left,3,attacking_third,True,8_11,618,3,drawing,0,0,3,2,finish,8,low_block,False,False,16.62,6.34,1,forward,False,False,18.57,2,running,2.12,1.56,-0.56,28.63,43.87,1.41,0.19,-1.22,23.87,8.63,-15.24,True,False,3,ahead,2,same_line,13.77,10.43,21.22,30.35,1,wide_left,3,attacking_third,False,41.75,30.04,1,wide_left,3,attacking_third,False,True,False,,True,True,0.0306,0.3741,0.868,True,True,2,False,,,,True,1,3,2,True,True,
1_4,4,1850048,618,656,00:53.8,00:57.6,0,53,3.8,1,2,right_to_left,1,off_ball_run,3,cross_receiver,119153,T. Rodman,17,RW,22730,G. Carle,2,LB,2333,Washington,16.2,-20.77,5,wide_right,2,middle_third,False,36.96,-13.31,4,half_space_right,3,attacking_third,True,8_11,618,3,drawing,0,0,3,2,finish,8,low_block,False,False,22.1,19.77,1,forward,False,False,21.3,3,hsr,16.5,13.18,-3.33,30.17,47.35,13.97,10.39,-3.58,22.33,5.15,-17.18,False,False,1,behind,1,behind,52.12,44.89,23.76,30.8,1,wide_left,3,attacking_third,False,46.5,30.55,1,wide_left,3,attacking_third,False,False,False,,True,True,0.0406,0.5496,0.6801,True,False,2,False,,,,False,7,7,0,True,True,
1_5,5,1850048,618,656,00:53.8,00:57.6,0,53,3.8,1,2,right_to_left,1,off_ball_run,9,support,815174,M. Morris,16,LW,22730,G. Carle,2,LB,2333,Washington,18.26,32.63,1,wide_left,3,attacking_third,False,36.96,19.74,2,half_space_left,3,attacking_third,True,8_11,618,3,drawing,0,0,3,2,finish,8,low_block,False,False,22.74,-34.58,1,forward,False,True,21.46,3,hsr,2.36,3.2,0.84,30.17,47.35,11.91,10.39,-1.52,22.33,5.15,-17.18,False,True,1,behind,1,behind,5.8,14.42,23.76,30.8,1,wide_left,3,attacking_third,False,46.5,30.55,1,wide_left,3,attacking_third,False,False,False,,False,True,0.019,0.1878,0.844,True,False,2,False,,,,False,7,7,0,True,True,
1_6,6,1850048,836,843,01:15.6,01:16.3,1,15,0.7,1,1,left_to_right,1,off_ball_run,2,coming_short,149932,K. Pickett,9,LDM,151607,A. Malonson,2,LB,3485,Bay,-21.85,13.38,2,half_space_left,1,defensive_third,False,-22.39,16.37,2,half_space_left,1,defensive_third,False,8_14,819,3,drawing,0,0,6,0,build_up,10,high_block,False,False,2.62,100.24,3,sideway_left,False,False,15.51,2,running,2.85,3.32,0.47,5.73,5.35,27.58,27.74,0.16,46.77,47.15,0.38,True,True,2,same_line,2,same_line,18.74,14.53,-21.79,32.12,1,wide_left,1,defensive_third,False,-24.12,30.8,1,wide_left,1,defensive_third,False,False,False,,False,False,0.0005,0.8544,0.7595,True,False,0,False,,,,True,7,8,1,True,True,
1_7,7,1850048,886,897,01:20.6,01:21.7,1,20,1.1,1,1,left_to_right,1,off_ball_run,4,dropping_off,22815,A. Dahlkemper,6,RCB,57139,K. Rowland,1,GK,3485,Bay,-35.16,-2.05,3,center,1,defensive_third,False,-36.28,-6.64,3,center,1,defensive_third,False,8_15,876,3,drawing,0,0,6,0,build_up,10,high_block,False,False,4.32,-103.71,4,sideway_right,False,False,15.45,2,running,9.83,9.21,-0.62,1.49,1.93,36.65,38.21,1.56,51.01,50.57,-0.44,False,False,3,ahead,3,ahead,12.61,12.01,-46.04,4.33,3,center,1,defensive_third,False,-44.73,1.9,3,center,1,defensive_third,False,False,False,,False,False,0.0001,0.9973,0.9057,True,True,0,False,,,,True,10,10,0,True,True,
1_8,8,1850048,914,929,01:23.4,01:24.9,1,23,1.5,1,1,left_to_right,1,off_ball_run,2,coming_short,149952,T. Boade,15,AM,151104,C. Dydasco,8,RB,3485,Bay,-6.67,-10.65,4,half_space_right,2,middle_third,False,-8.33,-17.39,4,half_space_right,2,middle_third,False,8_16,919,3,drawing,0,0,6,0,build_up,10,high_block,False,False,6.79,-103.84,4,sideway_right,False,False,17.57,2,running,4.96,0.97,-3.99,3.88,5.47,10.55,13.8,3.25,48.62,47.03,-1.59,True,True,3,ahead,3,ahead,24.21,18.08,-22.34,-29.1,5,wide_right,1,defensive_third,False,-21.84,-29.41,5,wide_right,1,defensive_third,False,True,False,,False,False,0.0011,0.7321,0.7313,True,True,0,False,,,,True,4,4,0,True,True,
1_9,9,1850048,1229,1250,01:54.9,01:57.0,1,54,2.1,1,2,right_to_left,1,off_ball_run,7,pulling_wide,119153,T. Rodman,17,RW,59727,C. Krueger,8,RB,2333,Washington,27.7,-15.48,4,half_space_right,3,attacking_third,False,24.96,-24.85,5,wide_right,3,attacking_third,False,8_23,1249,3,drawing,0,0,12,2,finish,8,low_block,False,False,9.38,-106.3,4,sideway_right,True,False,16.76,2,running,10.67,4.62,-6.04,33.1,32.9,5.4,7.94,2.54,19.4,19.6,0.2,False,False,3,ahead,3,ahead,19.95,16.15,9.25,-7.89,3,center,2,middle_third,False,12.45,-14.63,4,half_space_right,2,middle_third,False,True,True,True,False,False,0.0033,0.961,0.9764,True,True,0,False,,,,True,6,5,-1,True,True,True
1_10,10,1850048,1261,1297,01:58.1,02:01.7,1,58,3.6,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,815173,C. Brown,19,CF,119153,T. Rodman,17,RW,2333,Washington,28.05,-8.11,3,center,3,attacking_third,False,36.06,-25.05,5,wide_right,3,attacking_third,False,8_24,1274,3,drawing,0,0,12,2,finish,8,low_block,False,False,19.09,-64.69,4,sideway_right,True,False,19.02,2,running,2.48,1.85,-0.63,32.71,37.25,4.66,1.19,-3.47,19.79,15.25,-4.54,True,False,3,ahead,3,ahead,20.98,10.27,25.01,-28.87,5,wide_right,3,attacking_third,False,27.85,-31.22,5,wide_right,3,attacking_third,False,False,False,,False,False,0.0069,0.7381,0.9685,True,True,0,False,,,,True,3,5,2,True,True,
