event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1850048,189,199,00:10.9,00:11.9,0,10,1.0,1,2,right_to_left,7,passing_option,22730,G. Carle,2,LB,815170,H. Hershfelt,14,RM,2333,Washington,-14.55,20.08,2,half_space_left,2,middle_third,False,-15.2,20.77,1,wide_left,2,middle_third,False,8_1,189,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.95,133.29,3,sideway_left,True,False,3.42,1,jogging,18.19,8.56,-9.63,22.0,20.4,36.55,35.6,-0.95,30.5,32.1,1.6,False,False,False,True,4141.0,2,,,,False,,,False,,,,,,,19.45,2,medium,96.91,3,sideway_left,16.04,2,medium,94.68,3,sideway_left,False,10,10,0,2,same_line,2,same_line,20.02,19.45,-12.82,0.13,3,center,2,middle_third,False,-12.86,1.46,3,center,2,middle_third,False,True,True,True,False,False,0.0002,0.9986,0.9392,True,199,True,1,True,True,True,True,False
7_1,1,1850048,189,199,00:10.9,00:11.9,0,10,1.0,1,2,right_to_left,7,passing_option,57072,E. Morgan,4,LCB,815170,H. Hershfelt,14,RM,2333,Washington,-22.95,6.96,3,center,1,defensive_third,False,-23.51,7.73,3,center,1,defensive_third,False,8_1,189,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.95,126.03,3,sideway_left,False,False,,,,22.84,20.9,-1.94,22.0,20.4,44.95,43.91,-1.04,30.5,32.1,1.6,False,False,,True,4141.0,2,,,,False,,,False,,,,,,,12.26,1,short,146.44,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,12.22,12.36,-12.82,0.13,3,center,2,middle_third,False,-12.86,1.46,3,center,2,middle_third,False,False,False,,False,False,0.0001,0.9977,0.7856,True,190,True,1,True,True,True,,False
7_2,2,1850048,217,217,00:13.7,00:13.7,0,13,0.0,1,2,right_to_left,7,passing_option,57072,E. Morgan,4,LCB,22730,G. Carle,2,LB,2333,Washington,-24.5,9.48,2,half_space_left,1,defensive_third,False,-24.5,9.48,2,half_space_left,1,defensive_third,False,8_2,217,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,143.43,2,backward,False,False,5.55,1,jogging,15.96,10.56,-5.4,16.31,16.31,40.81,40.81,0.0,36.19,36.19,0.0,False,False,False,True,4141.0,2,,,,False,,,False,,,,,,,14.74,1,short,-128.42,4,sideway_right,16.19,2,medium,-119.62,4,sideway_right,False,10,10,0,1,behind,1,behind,14.74,14.74,-15.34,21.03,1,wide_left,2,middle_third,False,-15.34,21.03,1,wide_left,2,middle_third,False,True,True,True,False,False,0.0001,0.999,0.9106,True,217,True,1,True,True,True,True,False
7_3,3,1850048,217,217,00:13.7,00:13.7,0,13,0.0,1,2,right_to_left,7,passing_option,815172,H. Stainbrook,12,LM,22730,G. Carle,2,LB,2333,Washington,-6.33,14.35,2,half_space_left,2,middle_third,False,-6.33,14.35,2,half_space_left,2,middle_third,False,8_2,217,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,131.15,3,sideway_left,False,False,10.57,1,jogging,6.49,6.49,0.0,16.31,16.31,22.64,22.64,0.0,36.19,36.19,0.0,True,True,,True,4141.0,2,,,,False,,,False,,,,,,,11.22,1,short,-36.55,1,forward,,,,,,,True,10,8,2,3,ahead,3,ahead,11.22,11.22,-15.34,21.03,1,wide_left,2,middle_third,False,-15.34,21.03,1,wide_left,2,middle_third,False,False,False,,False,False,0.001,0.9927,0.8111,True,217,True,1,True,True,True,,False
7_4,4,1850048,237,249,00:15.7,00:16.9,0,15,1.2,1,2,right_to_left,7,passing_option,149990,T. McKeown,6,RCB,57072,E. Morgan,4,LCB,2333,Washington,-25.77,-9.61,4,half_space_right,1,defensive_third,False,-26.59,-11.64,4,half_space_right,1,defensive_third,False,8_3,237,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,2.2,-112.0,4,sideway_right,False,False,6.57,1,jogging,16.85,15.99,-0.86,11.39,8.68,37.16,35.27,-1.89,41.11,43.82,2.71,False,False,False,True,4141.0,2,,,,False,,,False,,,,,,,19.6,2,medium,-94.27,4,sideway_right,18.56,2,medium,-91.2,4,sideway_right,False,10,10,0,2,same_line,2,same_line,19.03,19.6,-25.28,9.41,2,half_space_left,1,defensive_third,False,-25.13,7.91,3,center,1,defensive_third,False,True,True,True,False,False,0.0,0.999,0.9804,True,249,True,0,True,True,True,True,False
7_5,5,1850048,264,276,00:18.4,00:19.6,0,18,1.2,1,2,right_to_left,7,passing_option,59727,C. Krueger,8,RB,149990,T. McKeown,6,RCB,2333,Washington,-16.66,-27.46,5,wide_right,2,middle_third,False,-17.37,-28.52,5,wide_right,2,middle_third,False,8_4,264,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.28,-123.81,4,sideway_right,False,False,3.79,1,jogging,13.0,12.5,-0.5,7.02,7.56,23.68,24.93,1.25,45.48,44.94,-0.54,False,False,,True,424.0,3,False,,,False,,,False,,,,,,,17.77,2,medium,-53.3,4,sideway_right,,,,,,,True,10,10,0,3,ahead,3,ahead,17.8,18.14,-27.36,-13.24,4,half_space_right,1,defensive_third,False,-27.37,-13.38,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0001,0.9974,0.9173,True,266,True,1,False,True,True,,False
7_6,6,1850048,269,283,00:18.9,00:20.3,0,18,1.4,1,2,right_to_left,7,passing_option,57072,E. Morgan,4,LCB,149990,T. McKeown,6,RCB,2333,Washington,-26.42,6.53,3,center,1,defensive_third,False,-26.32,6.34,3,center,1,defensive_third,False,8_4,264,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.49,-62.24,4,sideway_right,False,False,1.3,1,jogging,15.21,14.92,-0.29,7.24,7.61,33.66,33.93,0.27,45.26,44.89,-0.37,False,False,False,True,424.0,3,False,,,False,,,False,,,,,,,18.86,2,medium,86.9,3,sideway_left,17.23,2,medium,84.41,3,sideway_left,False,10,10,0,2,same_line,2,same_line,20.2,18.86,-27.49,-13.64,4,half_space_right,1,defensive_third,False,-27.34,-12.49,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0,0.9992,0.9833,True,283,True,1,True,True,True,True,False
7_7,7,1850048,298,300,00:21.8,00:22.0,0,21,0.2,1,2,right_to_left,7,passing_option,149990,T. McKeown,6,RCB,57072,E. Morgan,4,LCB,2333,Washington,-28.0,-10.81,4,half_space_right,1,defensive_third,False,-27.96,-10.67,4,half_space_right,1,defensive_third,False,8_5,298,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.34,90.0,3,sideway_left,False,False,3.06,1,jogging,15.33,13.43,-1.9,7.55,7.56,35.55,35.52,-0.03,44.95,44.94,-0.01,False,False,,True,424.0,3,False,,,False,,,False,,,,,,,19.09,2,medium,-95.08,4,sideway_right,,,,,,,False,10,10,0,2,same_line,2,same_line,17.81,17.93,-26.76,6.96,3,center,1,defensive_third,False,-26.69,7.21,3,center,1,defensive_third,False,False,False,True,False,False,0.0001,0.9992,0.9901,True,346,True,1,False,True,True,,False
7_8,8,1850048,298,341,00:21.8,00:26.1,0,21,4.3,1,2,right_to_left,7,passing_option,22730,G. Carle,2,LB,57072,E. Morgan,4,LCB,2333,Washington,-12.53,25.4,1,wide_left,2,middle_third,False,-18.03,25.08,1,wide_left,1,defensive_third,False,8_5,298,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,5.99,-176.67,2,backward,False,False,5.01,1,jogging,10.71,9.1,-1.61,7.55,8.5,20.08,26.53,6.45,44.95,44.0,-0.95,False,False,,True,424.0,3,False,,,False,,,False,,,,,,,22.46,2,medium,53.56,3,sideway_left,,,,,,,True,10,9,1,3,ahead,3,ahead,23.29,16.59,-26.76,6.96,3,center,1,defensive_third,False,-22.01,8.97,3,center,1,defensive_third,False,False,False,,False,False,0.0003,0.9986,0.9694,True,302,True,3,True,True,True,,False
7_9,9,1850048,318,331,00:23.8,00:25.1,0,23,1.3,1,2,right_to_left,7,passing_option,815172,H. Stainbrook,12,LM,57072,E. Morgan,4,LCB,2333,Washington,-9.93,10.92,2,half_space_left,2,middle_third,False,-11.07,12.7,2,half_space_left,2,middle_third,False,8_5,298,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.93,122.64,3,sideway_left,False,False,5.89,1,jogging,4.38,3.79,-0.6,7.92,8.34,17.85,19.41,1.56,44.58,44.16,-0.42,True,True,,True,424.0,3,False,,,False,,,False,,,,,,,13.02,1,short,10.45,1,forward,,,,,,,True,10,8,2,3,ahead,3,ahead,13.91,11.48,-23.71,9.05,3,center,1,defensive_third,False,-22.04,9.32,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0005,0.9912,0.7416,True,322,False,2,False,True,True,,False
