event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1850047,955,997,01:27.5,01:31.7,1,27,4.2,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,22824,R. Lavelle,14,RM,151171,E. Stevens,16,LW,2335,Gotham,-13.48,4.81,3,center,2,middle_third,False,8.33,8.99,3,center,2,middle_third,False,8_9,986,3,drawing,0,0,6,1,create,9,medium_block,False,False,22.32,10.85,1,forward,False,False,16.52,2,running,4.23,6.83,2.61,-2.93,15.8,10.55,7.47,-3.08,55.93,37.2,-18.73,True,True,3,ahead,3,ahead,14.7,23.3,-17.21,19.03,2,half_space_left,2,middle_third,False,-3.42,29.11,1,wide_left,2,middle_third,False,False,False,,False,True,0.0152,0.3443,0.6027,True,True,1,False,,,,True,4,4,0,True,True,
1_1,1,1850047,955,1012,01:27.5,01:33.2,1,27,5.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,64101,Esther Gonzalez,19,CF,151171,E. Stevens,16,LW,2335,Gotham,-12.24,15.31,2,half_space_left,2,middle_third,False,18.05,24.85,1,wide_left,3,attacking_third,False,8_9,986,3,drawing,0,0,6,1,create,9,medium_block,False,False,31.38,17.48,1,forward,False,False,15.65,2,running,2.62,2.8,0.18,-2.93,19.55,9.31,1.5,-7.81,55.93,33.45,-22.48,True,False,3,ahead,3,ahead,6.21,18.43,-17.21,19.03,2,half_space_left,2,middle_third,False,0.11,29.07,1,wide_left,2,middle_third,False,False,False,,False,True,0.0102,0.455,0.802,True,True,1,False,,,,True,2,4,2,True,True,
1_2,2,1850047,2216,2243,03:33.6,03:36.3,3,33,2.7,1,1,left_to_right,1,off_ball_run,7,pulling_wide,42801,S. Smith,16,LW,56164,R. Reyes,2,LB,1832,Portland Thorns,21.46,8.28,3,center,3,attacking_third,False,17.01,20.97,1,wide_left,2,middle_third,False,8_23,2230,3,drawing,0,0,15,1,create,9,medium_block,False,False,13.08,109.32,3,sideway_left,True,False,17.89,2,running,5.84,1.57,-4.27,29.36,26.45,7.9,9.44,1.54,23.64,26.55,2.91,False,False,3,ahead,3,ahead,20.58,16.84,1.82,2.12,3,center,2,middle_third,False,4.3,9.93,2,half_space_left,2,middle_third,False,True,True,False,False,False,0.0049,0.9078,0.9834,True,True,0,False,,,,True,5,4,-1,True,True,True
1_3,3,1850047,2255,2271,03:37.5,03:39.1,3,37,1.6,1,1,left_to_right,1,off_ball_run,9,support,56164,R. Reyes,2,LB,42801,S. Smith,16,LW,1832,Portland Thorns,3.45,13.83,2,half_space_left,2,middle_third,False,2.27,20.94,1,wide_left,2,middle_third,False,8_24,2258,3,drawing,0,0,16,2,finish,8,low_block,False,False,7.21,99.42,3,sideway_left,True,False,16.15,2,running,4.9,9.4,4.5,26.87,27.55,23.42,25.28,1.86,26.13,25.45,-0.68,False,False,1,behind,1,behind,16.11,13.22,15.65,24.35,1,wide_left,2,middle_third,False,14.65,25.58,1,wide_left,2,middle_third,False,False,False,,False,False,0.0013,0.9963,0.9783,True,True,0,False,,,,False,10,10,0,True,True,
1_4,4,1850047,2279,2290,03:39.9,03:41.0,3,39,1.1,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,22728,C. Sinclair,19,CF,42801,S. Smith,16,LW,1832,Portland Thorns,26.55,1.9,3,center,3,attacking_third,False,27.03,6.73,3,center,3,attacking_third,False,8_24,2258,3,drawing,0,0,16,2,finish,8,low_block,False,False,4.45,84.32,3,sideway_left,False,False,15.78,2,running,1.13,2.24,1.12,27.49,27.24,0.94,0.21,-0.73,25.51,25.76,0.25,True,True,3,ahead,3,ahead,24.61,16.88,13.53,22.78,1,wide_left,2,middle_third,False,13.59,16.95,2,half_space_left,2,middle_third,False,False,False,,True,True,0.0219,0.6359,0.8307,True,False,0,False,,,,True,2,2,0,True,True,
1_5,5,1850047,2397,2412,03:51.7,03:53.2,3,51,1.5,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,22728,C. Sinclair,19,CF,22676,H. Sugita,9,LDM,1832,Portland Thorns,12.36,26.36,1,wide_left,2,middle_third,False,18.34,30.33,1,wide_left,3,attacking_third,False,8_29,2394,3,drawing,0,0,17,1,create,9,medium_block,False,False,6.88,33.58,1,forward,False,False,17.28,2,running,4.24,4.22,-0.02,20.25,24.49,7.89,6.15,-1.74,32.75,28.51,-4.24,True,False,2,same_line,3,ahead,7.39,6.67,9.67,33.24,1,wide_left,2,middle_third,False,11.84,31.84,1,wide_left,2,middle_third,False,False,False,,False,False,0.0074,0.7886,0.97,True,True,0,False,,,,True,3,5,2,True,True,
1_6,6,1850047,2427,2456,03:54.7,03:57.6,3,54,2.9,1,1,left_to_right,1,off_ball_run,9,support,167391,S. Coffey,11,RDM,42801,S. Smith,16,LW,1832,Portland Thorns,7.28,17.69,2,half_space_left,2,middle_third,False,11.41,3.75,3,center,2,middle_third,False,8_30,2431,3,drawing,0,0,18,2,finish,8,low_block,False,False,14.27,-73.5,4,sideway_right,False,True,18.11,2,running,2.45,4.88,2.43,26.71,27.4,19.43,15.99,-3.44,26.29,25.6,-0.69,True,True,1,behind,1,behind,13.56,10.64,20.07,13.19,2,half_space_left,3,attacking_third,False,18.9,11.31,2,half_space_left,3,attacking_third,False,False,False,,False,False,0.0061,0.8969,0.9339,True,True,1,False,,,,True,8,8,0,True,True,
1_7,7,1850047,2456,2470,03:57.6,03:59.0,3,57,1.4,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,22728,C. Sinclair,19,CF,42801,S. Smith,16,LW,1832,Portland Thorns,27.07,26.44,1,wide_left,3,attacking_third,False,32.18,22.28,1,wide_left,3,attacking_third,False,8_30,2431,3,drawing,0,0,18,2,finish,8,low_block,False,False,6.59,-39.15,1,forward,False,False,16.79,2,running,6.33,4.99,-1.34,27.4,30.62,0.33,-1.56,-1.89,25.6,22.38,-3.22,False,False,3,ahead,3,ahead,17.19,12.41,18.9,11.31,2,half_space_left,3,attacking_third,False,25.39,11.89,2,half_space_left,3,attacking_third,False,False,False,,True,False,0.0261,0.8693,0.956,True,False,1,False,,,,True,0,1,1,True,True,
1_8,8,1850047,2478,2505,03:59.8,04:02.5,3,59,2.7,1,1,left_to_right,1,off_ball_run,3,cross_receiver,57100,M. Weaver,17,RW,42801,S. Smith,16,LW,1832,Portland Thorns,32.59,-10.65,4,half_space_right,3,attacking_third,False,45.32,-3.84,3,center,3,attacking_third,True,8_30,2431,3,drawing,0,0,18,2,finish,8,low_block,False,False,14.04,28.14,1,forward,False,True,19.11,2,running,7.22,1.33,-5.89,34.04,46.78,1.45,1.46,0.01,18.96,6.22,-12.74,False,False,2,same_line,2,same_line,24.3,18.71,29.89,13.5,2,half_space_left,3,attacking_third,False,46.7,14.82,2,half_space_left,3,attacking_third,True,False,False,,True,True,0.2372,0.3012,0.6637,True,True,1,False,,,,False,3,2,-1,True,True,
1_9,9,1850047,2478,2507,03:59.8,04:02.7,3,59,2.9,1,1,left_to_right,1,off_ball_run,3,cross_receiver,22733,J. Fleming,15,AM,42801,S. Smith,16,LW,1832,Portland Thorns,29.33,5.71,3,center,3,attacking_third,False,43.65,0.76,3,center,3,attacking_third,True,8_30,2431,3,drawing,0,0,18,2,finish,8,low_block,False,False,14.76,-19.07,1,forward,False,False,18.72,2,running,1.75,2.38,0.62,34.04,47.59,4.71,3.94,-0.77,18.96,5.41,-13.55,True,True,2,same_line,1,behind,7.81,14.87,29.89,13.5,2,half_space_left,3,attacking_third,False,47.67,15.08,2,half_space_left,3,attacking_third,True,False,False,,True,True,0.2253,0.3237,0.7265,True,True,1,False,,,,False,5,6,1,True,True,
