event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1850047,228,228,00:14.8,00:14.8,0,14,0.0,1,2,right_to_left,8,player_possession,22824,R. Lavelle,14,RM,2335,Gotham,0.06,-0.02,3,center,2,middle_third,False,0.06,-0.02,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,False,True,3,True,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,,,,,False,False,0.0,-147.72,2,backward,,,1.52,1,jogging,10.06,10.06,0.0,19.05,19.05,18.99,18.99,0.0,33.95,33.95,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,22822,E. Sonnett,6.0,RCB,-19.11,-1.01,3,center,1,defensive_third,False,-20.29,0.02,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,22.21,2,medium,-176.57,2,backward,,,,,8,8,0,True,True,,True,False
8_1,1,1850047,245,253,00:16.5,00:17.3,0,16,0.8,1,2,right_to_left,8,player_possession,22822,E. Sonnett,6,RCB,2335,Gotham,-20.29,0.02,3,center,1,defensive_third,False,-20.02,0.58,3,center,1,defensive_third,False,3,drawing,0,0,0,2,False,False,False,False,3,True,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,,,,,False,False,0.63,64.26,3,sideway_left,,,2.83,1,jogging,7.31,7.2,-0.11,18.39,18.04,38.68,38.06,-0.62,34.61,34.96,0.35,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-176.57,2,backward,22.21,2,medium,1,successful,7_0,False,22820,T. Davidson,4.0,LCB,-21.46,12.27,2,half_space_left,1,defensive_third,False,-19.05,13.08,2,half_space_left,1,defensive_third,False,0.9886,False,0.0001,False,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,8,8,True,442.0,3,False,False,False,,,,,11.78,1,short,97.02,3,sideway_left,12.22,1,short,103.82,3,sideway_left,False,9,10,-1,9,9,0,True,True,True,True,False
8_2,2,1850047,270,286,00:19.0,00:20.6,0,19,1.6,1,2,right_to_left,8,player_possession,22820,T. Davidson,4,LCB,2335,Gotham,-19.05,13.08,2,half_space_left,1,defensive_third,False,-16.05,15.31,2,half_space_left,2,middle_third,False,3,drawing,0,0,0,3,False,True,True,False,3,True,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,,,,,False,False,3.76,36.62,1,forward,False,False,8.42,1,jogging,6.12,6.78,0.65,18.3,20.67,37.35,36.72,-0.63,34.7,32.33,-2.37,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,103.82,3,sideway_left,12.22,1,short,2,unsuccessful,7_4,,64101,Esther Gonzalez,19.0,CF,19.14,6.8,3,center,3,attacking_third,False,,,,,,,,0.6458,True,0.0118,False,5,0,4,0,1,3,5,0,0,1,4,2,5,2,5,9,9,True,4123.0,3,True,True,True,3,last,1,through,36.2,3,long,-13.59,1,forward,,,,,,,True,10,4,6,10,10,0,True,True,True,True,False
8_3,3,1850047,298,298,00:21.8,00:21.8,0,21,0.0,1,1,left_to_right,8,player_possession,167391,S. Coffey,11,RDM,1832,Portland Thorns,-9.48,-12.34,4,half_space_right,2,middle_third,False,-9.48,-12.34,4,half_space_right,2,middle_third,False,3,drawing,0,0,1,1,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,9,medium_block,1,create,,,,,False,False,0.0,-138.46,2,backward,,,7.56,1,jogging,7.42,7.42,0.0,13.68,13.68,23.16,23.16,0.0,39.32,39.32,0.0,True,True,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,22728,C. Sinclair,19.0,CF,8.59,-10.81,4,half_space_right,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,True,True,True,False,False
8_4,4,1850047,321,321,00:24.1,00:24.1,0,24,0.0,1,2,right_to_left,8,player_possession,22822,E. Sonnett,6,RCB,2335,Gotham,-12.61,2.36,3,center,2,middle_third,False,-12.61,2.36,3,center,2,middle_third,False,3,drawing,0,0,2,2,True,False,False,True,2,False,5,chaotic,5,chaotic,7,set_play,13,defending_set_play,5,chaotic,5,chaotic,,,,,False,False,0.0,-162.41,2,backward,,,,,,7.56,7.56,0.0,20.42,20.42,33.03,33.03,0.0,32.58,32.58,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_9,True,151171,E. Stevens,16.0,LW,14.52,14.92,2,half_space_left,2,middle_third,False,2.77,26.82,1,wide_left,2,middle_third,False,0.5553,True,0.0039,False,3,0,3,2,1,0,3,0,0,0,3,,,,,9,9,True,424.0,3,True,False,False,1,first,1,through,29.9,2,medium,24.84,1,forward,29.26,2,medium,19.26,1,forward,True,10,6,4,10,10,0,False,False,True,True,True
8_5,5,1850047,358,374,00:27.8,00:29.4,0,27,1.6,1,2,right_to_left,8,player_possession,151171,E. Stevens,16,LW,2335,Gotham,2.77,26.82,1,wide_left,2,middle_third,False,4.81,31.4,1,wide_left,2,middle_third,False,3,drawing,0,0,2,3,False,True,True,False,2,False,5,chaotic,5,chaotic,7,set_play,13,defending_set_play,5,chaotic,5,chaotic,,,3,free_kick_for,False,False,5.42,65.99,3,sideway_left,False,False,12.18,1,jogging,3.92,0.77,-3.15,18.27,19.82,15.5,15.01,-0.49,34.73,33.18,-1.55,False,False,1,pass_reception,4,foul_suffered,False,False,True,False,False,False,False,19.26,1,forward,29.26,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,1,0,0,2,1,2,2,0,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,True,True,False,,False
8_6,6,1850047,569,569,00:48.9,00:48.9,0,48,0.0,1,1,left_to_right,8,player_possession,22812,B. Sauerbrunn,4,LCB,1832,Portland Thorns,-35.84,-11.55,4,half_space_right,1,defensive_third,False,-35.84,-11.55,4,half_space_right,1,defensive_third,False,3,drawing,0,0,4,4,True,False,False,True,3,False,5,chaotic,5,chaotic,1,create,9,medium_block,13,defending_set_play,7,set_play,4,free_kick_against,,,False,False,0.0,-157.04,2,backward,,,17.87,2,running,2.45,2.45,0.0,4.46,4.46,40.3,40.3,0.0,48.54,48.54,0.0,False,False,6,free_kick_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,57110,K. Hubly,6.0,RCB,-31.29,-16.49,4,half_space_right,1,defensive_third,False,-32.47,-15.98,4,half_space_right,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,,,,,,,,,,,,,,,,,8.45,1,short,-31.15,1,forward,,,,,10,10,0,False,False,,True,False
8_7,7,1850047,576,582,00:49.6,00:50.2,0,49,0.6,1,1,left_to_right,8,player_possession,57110,K. Hubly,6,RCB,1832,Portland Thorns,-32.47,-15.98,4,half_space_right,1,defensive_third,False,-32.73,-15.59,4,half_space_right,1,defensive_third,False,3,drawing,0,0,4,5,False,False,False,False,3,False,5,chaotic,5,chaotic,1,create,9,medium_block,13,defending_set_play,7,set_play,,,,,False,False,0.47,123.69,3,sideway_left,,,2.86,1,jogging,4.83,3.24,-1.59,3.29,2.32,35.76,35.05,-0.71,49.71,50.68,0.97,True,True,1,pass_reception,1,pass,False,True,False,False,False,False,False,-31.15,1,forward,8.45,1,short,1,successful,7_15,True,42801,S. Smith,16.0,LW,-8.85,1.71,3,center,2,middle_third,False,-8.93,5.35,3,center,2,middle_third,False,0.5428,True,0.0017,False,5,0,0,0,0,0,3,0,0,2,3,3,5,1,3,6,6,False,,,,,,,,,,29.49,2,medium,35.92,1,forward,28.42,2,medium,27.97,1,forward,True,8,2,6,8,8,0,True,True,False,False,False
8_8,8,1850047,605,622,00:52.5,00:54.2,0,52,1.7,1,1,left_to_right,8,player_possession,42801,S. Smith,16,LW,1832,Portland Thorns,-8.93,5.35,3,center,2,middle_third,False,-7.77,9.88,2,half_space_left,2,middle_third,False,3,drawing,0,0,4,6,False,True,True,False,3,False,5,chaotic,5,chaotic,1,create,9,medium_block,13,defending_set_play,7,set_play,,,3,free_kick_for,False,False,4.4,75.64,3,sideway_left,True,False,,,,7.38,9.58,2.2,0.37,-0.3,9.3,7.47,-1.83,52.63,53.3,0.67,False,False,1,pass_reception,4,foul_suffered,False,False,True,False,False,False,False,27.97,1,forward,28.42,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,False,False,True,,True
8_9,9,1850047,986,1026,01:30.6,01:34.6,1,30,4.0,1,2,right_to_left,8,player_possession,151171,E. Stevens,16,LW,2335,Gotham,-6.99,28.54,1,wide_left,2,middle_third,False,2.37,29.75,1,wide_left,2,middle_third,False,3,drawing,0,0,6,1,True,False,False,True,3,False,1,create,9,medium_block,2,finish,8,low_block,9,medium_block,1,create,4,free_kick_against,,,False,False,9.55,7.37,1,forward,False,False,,,,1.69,0.82,-0.87,11.26,20.09,18.25,17.72,-0.53,41.74,32.91,-8.83,False,False,13,unknown,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_21,False,57108,Y. Ryan,12.0,LM,0.04,23.49,1,wide_left,2,middle_third,False,1.58,23.25,1,wide_left,2,middle_third,False,0.9882,False,0.0022,False,3,2,2,0,1,1,2,0,0,1,2,2,1,2,2,3,3,True,433.0,3,False,False,False,,,,,6.68,1,short,-110.42,4,sideway_right,8.07,1,short,-116.72,4,sideway_right,False,7,7,0,7,7,0,True,True,,True,True
