event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1850047,245,253,00:16.5,00:17.3,0,16,0.8,1,2,right_to_left,7,passing_option,22820,T. Davidson,4,LCB,22822,E. Sonnett,6,RCB,2335,Gotham,-21.68,11.16,2,half_space_left,1,defensive_third,False,-21.46,12.27,2,half_space_left,1,defensive_third,False,8_1,245,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.16,78.79,3,sideway_left,False,False,5.22,1,jogging,5.41,6.12,0.71,18.39,18.04,40.07,39.5,-0.57,34.61,34.96,0.35,False,False,False,True,442.0,3,False,,,False,,,False,,,,,,,11.78,1,short,97.02,3,sideway_left,12.22,1,short,103.82,3,sideway_left,False,9,10,-1,2,same_line,2,same_line,11.23,11.78,-20.29,0.02,3,center,1,defensive_third,False,-20.02,0.58,3,center,1,defensive_third,False,True,True,True,False,False,0.0001,0.9886,0.8409,True,253,True,1,True,True,True,True,False
7_1,1,1850047,245,253,00:16.5,00:17.3,0,16,0.8,1,2,right_to_left,7,passing_option,151106,M. Freeman,2,LB,22822,E. Sonnett,6,RCB,2335,Gotham,-18.92,20.21,1,wide_left,1,defensive_third,False,-18.33,21.32,1,wide_left,1,defensive_third,False,8_1,245,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.26,62.01,3,sideway_left,False,False,5.71,1,jogging,13.21,14.0,0.79,18.39,18.04,37.31,36.37,-0.94,34.61,34.96,0.35,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,20.81,2,medium,85.34,3,sideway_left,,,,,,,False,9,9,0,2,same_line,2,same_line,20.24,20.81,-20.29,0.02,3,center,1,defensive_third,False,-20.02,0.58,3,center,1,defensive_third,False,False,False,,False,False,0.0001,0.9961,0.9283,True,253,True,1,True,True,True,,False
7_2,2,1850047,270,284,00:19.0,00:20.4,0,19,1.4,1,2,right_to_left,7,passing_option,151106,M. Freeman,2,LB,22820,T. Davidson,4,LCB,2335,Gotham,-13.64,23.89,1,wide_left,2,middle_third,False,-7.88,23.77,1,wide_left,2,middle_third,False,8_2,270,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,5.79,-1.19,1,forward,False,False,14.91,1,jogging,15.49,8.73,-6.76,18.3,20.23,31.94,28.11,-3.83,34.7,32.77,-1.93,False,False,,True,4123.0,3,False,,,False,,,False,,,,,,,12.4,1,short,49.35,3,sideway_left,,,,,,,True,10,8,2,3,ahead,3,ahead,12.09,12.3,-19.05,13.08,2,half_space_left,1,defensive_third,False,-16.54,15.04,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0016,0.9869,0.6919,True,281,True,4,True,True,True,,False
7_3,3,1850047,270,286,00:19.0,00:20.6,0,19,1.6,1,2,right_to_left,7,passing_option,151171,E. Stevens,16,LW,22820,T. Davidson,4,LCB,2335,Gotham,13.4,18.47,2,half_space_left,2,middle_third,False,17.63,17.42,2,half_space_left,2,middle_third,False,8_2,270,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,4.38,-13.94,1,forward,False,False,,,,2.25,1.65,-0.6,18.3,20.67,4.9,3.04,-1.86,34.7,32.33,-2.37,False,True,,True,4123.0,3,True,1,through,True,2,around,True,1,through,3,last,1,through,33.75,3,long,3.58,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,32.89,33.75,-19.05,13.08,2,half_space_left,1,defensive_third,False,-16.05,15.31,2,half_space_left,2,middle_third,False,False,False,,False,True,0.0089,0.5209,0.8963,True,286,True,4,True,True,True,,True
7_4,4,1850047,277,286,00:19.7,00:20.6,0,19,0.9,1,2,right_to_left,7,passing_option,64101,Esther Gonzalez,19,CF,22820,T. Davidson,4,LCB,2335,Gotham,16.87,6.67,3,center,2,middle_third,False,19.14,6.8,3,center,3,attacking_third,False,8_2,270,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.98,3.28,1,forward,False,False,,,,5.01,5.3,0.29,19.11,20.67,2.24,1.53,-0.71,33.89,32.33,-1.56,True,True,,True,4123.0,3,True,1,through,True,1,through,True,1,through,3,last,1,through,36.2,3,long,-13.59,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,35.55,36.2,-17.94,13.89,2,half_space_left,1,defensive_third,False,-16.05,15.31,2,half_space_left,2,middle_third,False,True,False,,False,True,0.0118,0.6458,0.8812,True,286,False,4,True,True,True,,True
7_5,5,1850047,282,286,00:20.2,00:20.6,0,20,0.4,1,2,right_to_left,7,passing_option,42754,L. Williams Biyendolo,17,RW,22820,T. Davidson,4,LCB,2335,Gotham,16.87,-5.6,3,center,2,middle_third,False,17.88,-4.83,3,center,3,attacking_third,False,8_2,270,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.25,37.52,1,forward,False,False,,,,2.56,2.21,-0.35,19.87,20.67,3.0,2.79,-0.21,33.13,32.33,-0.8,True,True,,True,4123.0,3,True,1,through,True,1,through,True,1,through,3,last,1,through,39.46,3,long,-30.69,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,39.5,39.46,-17.0,14.72,2,half_space_left,2,middle_third,False,-16.05,15.31,2,half_space_left,2,middle_third,False,False,False,,False,True,0.0084,0.6258,0.79,True,286,False,4,True,True,True,,True
7_6,6,1850047,284,286,00:20.4,00:20.6,0,20,0.2,1,2,right_to_left,7,passing_option,22824,R. Lavelle,14,RM,22820,T. Davidson,4,LCB,2335,Gotham,13.99,2.03,3,center,2,middle_third,False,14.52,2.2,3,center,2,middle_third,False,8_2,270,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.04,19.95,1,forward,False,False,,,,5.18,5.07,-0.11,20.23,20.67,6.24,6.15,-0.09,32.77,32.33,-0.44,True,True,,True,4123.0,3,True,1,through,True,1,through,False,,,2,second_last,1,through,33.26,3,long,-23.21,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,33.19,33.26,-16.54,15.04,2,half_space_left,2,middle_third,False,-16.05,15.31,2,half_space_left,2,middle_third,False,False,False,,False,True,0.0085,0.6242,0.7326,True,286,False,4,True,True,True,,False
7_7,7,1850047,321,321,00:24.1,00:24.1,0,24,0.0,1,2,right_to_left,7,passing_option,22824,R. Lavelle,14,RM,22822,E. Sonnett,6,RCB,2335,Gotham,12.34,2.44,3,center,2,middle_third,False,12.34,2.44,3,center,2,middle_third,False,8_4,321,,,,3,drawing,0,0,2,5,chaotic,5,chaotic,False,False,0.0,-172.58,2,backward,False,False,13.9,1,jogging,6.8,6.8,0.0,20.42,20.42,8.08,8.08,0.0,32.58,32.58,0.0,True,True,,True,424.0,3,True,1,through,True,2,around,False,,,2,second_last,2,around,24.95,2,medium,0.18,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,24.95,24.95,-12.61,2.36,3,center,2,middle_third,False,-12.61,2.36,3,center,2,middle_third,False,False,False,,False,True,0.0019,0.5766,0.8125,True,321,True,2,True,False,False,,False
7_8,8,1850047,321,321,00:24.1,00:24.1,0,24,0.0,1,2,right_to_left,7,passing_option,57108,Y. Ryan,12,LM,22822,E. Sonnett,6,RCB,2335,Gotham,2.68,4.14,3,center,2,middle_third,False,2.68,4.14,3,center,2,middle_third,False,8_4,321,,,,3,drawing,0,0,2,5,chaotic,5,chaotic,False,False,0.0,-145.18,2,backward,False,False,9.97,1,jogging,3.02,3.02,0.0,20.42,20.42,17.74,17.74,0.0,32.58,32.58,0.0,True,True,,True,424.0,3,True,1,through,False,,,False,,,1,first,1,through,15.39,2,medium,6.64,1,forward,,,,,,,True,10,6,4,3,ahead,3,ahead,15.39,15.39,-12.61,2.36,3,center,2,middle_third,False,-12.61,2.36,3,center,2,middle_third,False,False,False,,False,True,0.0012,0.5922,0.714,True,321,True,2,True,False,False,,False
7_9,9,1850047,321,321,00:24.1,00:24.1,0,24,0.0,1,2,right_to_left,7,passing_option,151171,E. Stevens,16,LW,22822,E. Sonnett,6,RCB,2335,Gotham,14.52,14.92,2,half_space_left,2,middle_third,False,14.52,14.92,2,half_space_left,2,middle_third,False,8_4,321,,,,3,drawing,0,0,2,5,chaotic,5,chaotic,False,False,0.0,167.55,2,backward,False,False,11.36,1,jogging,3.77,3.92,0.15,20.42,20.42,5.9,5.9,0.0,32.58,32.58,0.0,True,True,True,True,424.0,3,True,1,through,False,,,False,,,1,first,1,through,29.9,2,medium,24.84,1,forward,29.26,2,medium,19.26,1,forward,True,10,6,4,3,ahead,3,ahead,29.9,29.9,-12.61,2.36,3,center,2,middle_third,False,-12.61,2.36,3,center,2,middle_third,False,True,True,True,False,True,0.0039,0.5553,0.3296,False,321,False,2,False,False,False,True,False
