event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_0,815170,H. Hershfelt,22730,G. Carle,189,-14.55,20.08,-12.82,0.13,16.04,19.45,96.91,133.29,94.68,10,0,36.55,18.19,4141.0,False,False,False,73.93699999999998,2333,Team 1
7_2,22730,G. Carle,57072,E. Morgan,217,-24.5,9.48,-15.34,21.03,16.19,14.74,-128.42,143.43,-119.62,10,0,40.81,15.96,4141.0,False,False,False,83.21700000000001,2333,Team 1
7_4,57072,E. Morgan,149990,T. McKeown,237,-25.77,-9.61,-25.28,9.41,18.56,19.6,-94.27,-112.0,-91.2,10,0,37.16,16.85,4141.0,False,False,False,72.52499999999999,2333,Team 1
7_6,149990,T. McKeown,57072,E. Morgan,269,-26.42,6.53,-27.49,-13.64,17.23,18.86,86.9,-62.24,84.41,10,0,33.66,15.21,424.0,False,False,False,64.312,2333,Team 1
7_10,57072,E. Morgan,149990,T. McKeown,323,-25.93,-9.65,-22.83,9.1,18.06,19.09,-95.08,-24.65,-95.18,10,0,34.01,16.11,424.0,False,False,False,62.692,2333,Team 1
7_11,149990,T. McKeown,59727,C. Krueger,366,-11.85,-28.37,-21.93,-12.95,11.29,13.87,-62.75,-119.36,-50.86,10,0,20.71,13.95,424.0,False,False,False,56.249,2333,Team 1
7_14,59727,C. Krueger,149990,T. McKeown,396,-19.97,-21.37,-12.91,-29.79,10.2,10.03,146.21,-132.94,140.17,10,0,29.69,12.33,424.0,False,False,False,79.37100000000002,2333,Team 1
7_23,62526,A. Kingsbury,815174,M. Morris,542,-1.86,12.7,-42.12,-0.01,39.11,42.56,17.84,54.88,14.85,3,7,12.03,6.69,424.0,True,False,False,45.667,2333,Team 1
7_25,815174,M. Morris,22730,G. Carle,589,8.41,27.96,14.06,28.77,4.3,4.71,-92.31,11.51,-131.14,4,1,14.92,3.17,,True,False,True,47.612,2333,Team 1
7_32,57105,E. Menges,151607,A. Malonson,795,-21.23,33.56,-37.59,21.58,12.65,17.78,37.16,18.56,42.53,6,4,24.31,11.94,442.0,False,False,False,43.387,3485,Team 2
7_38,151607,A. Malonson,57139,K. Rowland,832,-45.76,5.6,-20.22,32.59,26.19,28.36,-134.67,126.15,-144.92,10,-1,51.5,22.03,442.0,False,False,False,90.275,3485,Team 2
7_41,57139,K. Rowland,151104,C. Dydasco,876,-24.61,-20.31,-46.93,6.37,34.08,35.76,-49.89,-59.78,-44.18,8,2,26.36,15.5,424.0,False,False,False,56.689,3485,Team 2
7_47,156498,R. Hill,151104,C. Dydasco,971,-13.59,-32.2,-9.85,-32.93,3.33,4.04,166.24,-143.57,156.28,7,-1,20.58,2.01,,False,False,False,71.99600000000001,3485,Team 2
7_48,151104,C. Dydasco,22402,A. Oshoala,987,3.13,-23.06,-13.38,-33.19,19.38,19.37,31.53,-147.57,30.44,3,4,3.93,1.65,,True,False,True,46.903000000000006,3485,Team 2
7_51,815170,H. Hershfelt,59727,C. Krueger,1228,9.08,-7.58,16.4,10.16,12.11,19.19,-112.42,-60.49,-138.08,10,-1,24.01,12.33,4231.0,False,False,False,64.77100000000002,2333,Team 1
7_53,59727,C. Krueger,119153,T. Rodman,1249,25.0,-24.44,12.35,-14.35,12.86,15.79,-43.2,-90.55,-25.77,5,4,7.93,10.14,4231.0,False,False,False,39.74700000000001,2333,Team 1
