event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_0,22822,E. Sonnett,22820,T. Davidson,245,-21.68,11.16,-20.29,0.02,12.22,11.78,97.02,78.79,103.82,10,-1,40.07,5.41,442.0,False,False,False,71.08200000000001,2335,Team 1
7_9,22822,E. Sonnett,151171,E. Stevens,321,14.52,14.92,-12.61,2.36,29.26,29.9,24.84,167.55,19.26,6,4,5.9,3.77,424.0,True,False,True,56.63900000000001,2335,Team 1
7_21,151171,E. Stevens,57108,Y. Ryan,1003,-4.48,21.91,-1.81,29.1,8.07,6.68,-110.42,19.27,-116.72,7,0,22.17,8.07,433.0,True,False,False,54.53300000000001,2335,Team 1
7_25,57108,Y. Ryan,57093,J. Carter,1050,-0.14,-8.32,5.81,19.37,25.19,27.59,-102.01,3.51,-119.52,6,1,20.93,3.04,424.0,False,False,False,55.41800000000001,2335,Team 1
7_27,57093,J. Carter,22822,E. Sonnett,1093,-2.04,-10.68,9.94,-23.35,14.87,13.73,131.61,-50.77,130.83,10,-1,31.11,16.07,424.0,False,False,False,68.623,2335,Team 1
7_29,22822,E. Sonnett,22820,T. Davidson,1116,-1.38,5.36,2.93,-16.08,21.14,21.04,104.68,-143.64,97.69,10,0,32.03,11.66,451.0,False,False,False,76.626,2335,Team 1
7_31,22820,T. Davidson,22822,E. Sonnett,1151,0.54,-16.26,-2.02,5.66,23.72,21.86,-88.93,172.8,-88.82,10,0,25.83,11.76,442.0,False,False,False,74.734,2335,Team 1
7_34,22822,E. Sonnett,22824,R. Lavelle,1185,17.04,-14.98,-2.32,-14.88,7.97,10.4,-13.74,-74.14,1.51,6,3,8.14,3.99,424.0,False,False,False,33.102,2335,Team 1
7_38,22824,R. Lavelle,57093,J. Carter,1230,15.36,-33.69,20.89,-24.57,7.67,8.05,-111.56,4.75,-112.38,6,0,14.63,8.46,424.0,False,False,False,44.793,2335,Team 1
7_53,151090,S. Hogan,57100,M. Weaver,2113,14.14,-18.61,-29.59,-8.35,43.29,38.69,-8.41,30.55,-10.23,5,5,2.18,2.62,451.0,True,False,False,39.972,1832,Team 2
7_58,22812,B. Sauerbrunn,56164,R. Reyes,2214,1.96,1.57,2.32,-4.41,3.6,5.99,93.45,106.75,41.17,10,0,27.82,7.97,,False,False,False,59.532999999999994,1832,Team 2
7_59,56164,R. Reyes,42801,S. Smith,2230,18.91,14.92,2.92,6.96,15.18,17.01,34.8,104.38,12.83,5,5,8.12,5.78,4141.0,False,False,False,42.159,1832,Team 2
7_61,42801,S. Smith,167391,S. Coffey,2275,7.31,9.58,13.87,24.46,5.66,8.06,-117.8,36.38,-138.22,9,0,20.27,3.48,,True,False,False,62.377,1832,Team 2
7_64,167391,S. Coffey,56164,R. Reyes,2294,2.9,24.66,10.16,11.29,15.87,15.21,118.5,32.35,115.53,10,-1,24.4,14.68,,False,False,False,61.163000000000004,1832,Team 2
7_67,56164,R. Reyes,22812,B. Sauerbrunn,2310,-4.63,15.74,3.69,24.87,12.75,12.15,-139.37,155.07,-131.28,10,0,32.0,13.59,4132.0,False,False,False,81.679,1832,Team 2
7_70,22812,B. Sauerbrunn,56164,R. Reyes,2355,0.92,29.81,-8.8,11.82,20.61,20.54,62.74,146.31,53.76,8,2,19.99,12.15,4132.0,False,False,False,61.028999999999996,1832,Team 2
7_71,56164,R. Reyes,22676,H. Sugita,2377,12.28,33.27,-1.58,30.2,13.38,13.37,15.44,159.17,13.66,6,2,7.39,7.82,433.0,False,False,False,41.971999999999994,1832,Team 2
7_74,22676,H. Sugita,42801,S. Smith,2407,20.01,11.56,11.58,32.65,18.33,20.89,-60.71,21.74,-49.56,5,1,2.9,2.09,,True,False,False,35.232,1832,Team 2
7_80,42801,S. Smith,22728,C. Sinclair,2453,26.11,27.15,17.94,11.32,3.17,3.82,141.69,-20.67,99.25,6,-1,1.02,6.66,,False,False,False,38.79,1832,Team 2
7_85,22728,C. Sinclair,22676,H. Sugita,2542,31.73,17.67,42.18,21.87,10.24,11.27,-161.16,103.63,-158.04,10,-4,13.66,6.63,,False,False,False,66.859,1832,Team 2
7_88,22676,H. Sugita,22728,C. Sinclair,2559,40.99,22.49,32.14,19.76,1.32,2.37,50.66,163.18,72.39,9,0,2.53,2.81,,False,False,False,49.72200000000001,1832,Team 2
7_91,22728,C. Sinclair,56164,R. Reyes,2576,21.05,24.46,36.3,24.21,8.47,10.83,-152.01,-142.61,-136.2,10,0,21.04,16.39,,False,False,False,74.86499999999998,1832,Team 2
7_95,56164,R. Reyes,57110,K. Hubly,2611,15.33,2.35,18.06,22.27,18.73,19.06,-103.41,-152.64,-95.79,10,0,21.4,13.17,433.0,False,False,False,70.869,1832,Team 2
7_97,57110,K. Hubly,22812,B. Sauerbrunn,2642,5.7,11.18,9.69,1.81,9.65,10.18,113.07,176.99,91.48,10,0,27.14,12.84,4312.0,False,False,False,74.051,1832,Team 2
7_99,22812,B. Sauerbrunn,56164,R. Reyes,2656,11.12,23.33,7.15,12.08,12.0,11.93,70.56,117.08,61.21,8,2,19.48,11.27,4312.0,False,False,False,56.971000000000004,1832,Team 2
7_100,56164,R. Reyes,22728,C. Sinclair,2668,25.59,26.1,10.26,25.11,12.29,12.56,27.97,149.5,17.08,6,3,3.73,7.51,,False,False,False,42.004999999999995,1832,Team 2
7_104,22728,C. Sinclair,56164,R. Reyes,2705,7.95,25.96,16.49,30.08,7.6,7.92,-160.08,119.0,-143.72,9,-2,19.75,2.6,,False,False,False,70.915,1832,Team 2
7_105,56164,R. Reyes,22676,H. Sugita,2726,15.5,19.81,4.76,30.1,12.5,11.95,-42.35,155.16,-36.08,7,2,11.2,1.69,442.0,True,False,False,53.371,1832,Team 2
7_107,22676,H. Sugita,56164,R. Reyes,2755,1.37,28.23,6.3,20.76,7.15,7.69,130.78,152.12,124.8,8,0,21.27,3.99,442.0,False,False,False,70.75200000000001,1832,Team 2
7_115,22822,E. Sonnett,57092,A. Berger,2827,-43.99,-3.03,-28.45,-16.12,16.42,20.32,139.89,-61.56,120.94,10,0,50.87,21.29,,False,False,False,80.342,2335,Team 1
