event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_195,62527,A. Hatch,662391,R. Kouassi,4400,10.99,-24.05,13.1,-10.68,6.24,11.4,-35.5,-10.44,-47.34,4,2,9.96,4.02,4231.0,False,False,False,28.376000000000005,2333,Team 2
7_203,149954,K. Strom,149882,K. Abello,5102,-40.42,30.56,-49.55,11.14,15.22,17.24,68.35,-179.54,65.67,9,1,42.69,15.96,4132.0,False,False,False,75.57499999999999,2334,Team 1
7_206,149882,K. Abello,63540,Adriana,5126,-8.54,25.54,-43.68,30.81,22.47,31.4,-8.83,169.22,-6.98,4,5,9.96,0.94,4141.0,True,False,True,52.036,2334,Team 1
7_209,627216,P. Metayer,68518,L. Santos,5155,26.06,-20.98,23.85,-27.69,6.07,7.06,71.77,-124.67,96.43,5,0,16.88,2.5,,True,False,False,53.048,2333,Team 2
7_219,62526,A. Kingsbury,149990,T. McKeown,5514,-7.93,-21.14,-21.46,-7.07,18.31,16.23,-52.51,144.57,-49.54,10,0,29.26,17.36,4411.0,False,False,False,63.312999999999995,2333,Team 2
7_220,149990,T. McKeown,62526,A. Kingsbury,5549,-22.34,-5.41,-11.84,-18.15,11.96,18.84,130.0,133.15,126.19,10,0,41.63,19.46,442.0,False,False,False,81.44500000000001,2333,Team 2
7_222,62526,A. Kingsbury,57072,E. Morgan,5602,-15.11,16.39,-27.53,-0.23,17.89,19.01,55.16,141.63,50.67,10,0,30.51,18.18,442.0,False,False,False,63.73199999999999,2333,Team 2
7_225,57072,E. Morgan,62526,A. Kingsbury,5649,-30.51,4.49,-16.67,14.88,17.16,17.28,-143.83,-166.57,-139.51,10,0,44.84,21.19,442.0,False,False,False,90.321,2333,Team 2
7_228,62526,A. Kingsbury,57072,E. Morgan,5685,-18.95,17.19,-29.6,0.77,17.02,17.72,72.5,126.9,62.2,10,0,28.91,13.76,442.0,False,False,False,64.96900000000001,2333,Team 2
7_231,57072,E. Morgan,68518,L. Santos,5743,-7.79,15.99,-20.5,21.05,9.72,10.51,-13.43,84.02,-17.73,8,2,17.82,4.62,442.0,True,False,False,45.419999999999995,2333,Team 2
7_247,817541,C. Dyke,151602,A. Watt,5921,5.01,-32.04,-5.86,-30.75,10.85,10.95,-6.77,-178.95,-10.83,5,4,13.4,1.68,,False,False,False,47.274,2334,Team 1
