event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_3,62389,Angelina,441597,E. Madril Sams,194,-22.25,-3.3,-10.49,-1.13,11.73,11.25,-173.62,-105.95,175.35,10,0,41.46,12.97,,False,False,False,89.147,2334,Team 1
7_5,441597,E. Madril Sams,149954,K. Strom,216,-22.84,13.1,-22.11,-4.02,17.56,18.72,104.79,152.54,104.24,10,0,39.39,15.46,442.0,False,False,False,80.028,2334,Team 1
7_8,149954,K. Strom,441597,E. Madril Sams,243,-21.33,-2.46,-27.24,16.39,12.93,12.83,-98.88,100.21,-106.58,10,0,34.08,8.78,424.0,False,False,False,71.72999999999999,2334,Team 1
7_13,441597,E. Madril Sams,149954,K. Strom,312,-16.64,18.38,-18.03,2.8,13.57,13.8,95.82,-24.01,91.61,10,0,30.3,14.39,424.0,False,False,False,59.487,2334,Team 1
7_17,22541,Debinha,151129,V. DiBernardo,535,-19.95,-22.91,-11.61,-19.82,9.73,8.89,-159.67,45.67,-151.78,7,-3,19.34,2.42,,True,False,False,61.317,2329,Team 2
7_22,151129,V. DiBernardo,816480,C. Hutton,543,-15.63,-8.87,-17.74,-20.75,10.1,12.07,79.93,27.54,120.73,5,2,15.89,7.5,451.0,True,False,False,49.29500000000001,2329,Team 2
7_28,816480,C. Hutton,151139,L. LaBonta,568,-20.33,-9.54,-9.82,-3.18,11.6,11.29,-151.6,57.15,-149.76,9,-2,24.5,9.17,4321.0,False,False,False,66.74699999999999,2329,Team 2
7_29,151139,L. LaBonta,151127,K. Sharples,579,-24.16,5.24,-18.43,-5.89,12.9,13.2,114.58,68.82,132.58,10,-1,30.46,15.64,451.0,False,False,False,68.07000000000001,2329,Team 2
7_31,151127,K. Sharples,816481,E. Wheeler,603,-7.5,25.98,-19.76,12.78,14.0,17.32,60.73,104.11,52.66,8,2,15.06,13.06,442.0,False,False,False,51.868,2329,Team 2
7_32,816481,E. Wheeler,151127,K. Sharples,630,-16.94,18.63,-6.4,32.24,16.71,15.79,-144.2,104.26,-142.12,10,-1,29.86,14.84,442.0,False,False,False,76.533,2329,Team 2
7_35,151127,K. Sharples,816480,C. Hutton,659,-9.92,21.92,-18.2,24.36,8.54,8.24,-11.98,-0.88,-12.17,9,1,23.72,9.23,442.0,False,False,False,36.57899999999999,2329,Team 2
