event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_4,75099,A. Sanchez,57136,D. O'Sullivan,322,5.31,-25.47,10.04,-28.36,4.73,5.54,148.58,-141.34,111.73,9,-2,19.47,2.99,,True,False,False,69.72099999999999,1833,Team 1
7_5,57136,D. O'Sullivan,149933,M. Berkely,336,-4.44,-7.5,4.62,-24.2,8.67,18.58,114.32,79.53,127.27,10,-1,27.89,14.31,4321.0,False,False,False,66.296,1833,Team 1
7_8,149933,M. Berkely,57140,K. Kurtz,379,-11.21,-10.54,-11.88,1.86,12.45,10.11,-83.41,92.12,-86.08,10,0,29.94,7.6,4231.0,False,False,False,65.346,1833,Team 1
7_9,57140,K. Kurtz,149933,M. Berkely,397,-12.18,5.12,-10.97,-3.45,5.59,8.65,98.04,80.22,113.4,10,0,29.64,12.84,4231.0,False,False,False,65.09500000000001,1833,Team 1
7_10,149933,M. Berkely,63796,F. Rauch,409,5.07,23.81,-10.73,9.46,14.57,18.2,42.48,80.21,32.13,7,3,11.78,11.75,442.0,False,False,False,43.892999999999994,1833,Team 1
7_16,149933,M. Berkely,63796,F. Rauch,614,14.58,34.14,6.55,30.82,7.65,7.62,23.27,-166.69,23.65,9,1,17.99,8.69,,False,False,False,52.413000000000004,1833,Team 1
7_22,57144,H. Mace,816480,C. Hutton,649,-18.97,-15.66,-21.74,-27.99,9.54,10.77,81.46,22.99,77.77,7,1,18.54,5.83,,True,False,False,48.688,2329,Team 2
7_28,18897,R. Williams,62480,Kerolin,684,18.66,-5.94,5.05,7.74,7.13,13.39,-80.11,-92.28,-124.54,5,2,10.19,4.82,,False,False,False,50.963,1833,Team 1
7_34,18897,R. Williams,62480,Kerolin,785,35.64,-31.11,32.89,-29.18,3.57,3.36,-35.06,-111.8,-8.06,5,1,4.55,3.41,,False,False,False,31.656000000000002,1833,Team 1
7_36,62480,Kerolin,57136,D. O'Sullivan,790,19.15,-20.33,35.47,-31.62,17.32,18.27,149.84,-102.98,150.07,10,-4,20.57,11.79,,False,False,False,69.41199999999999,1833,Team 1
7_37,57136,D. O'Sullivan,57140,K. Kurtz,821,6.01,-8.25,16.04,-23.62,12.32,16.4,123.16,124.71,129.1,10,0,30.44,12.56,,False,False,False,76.101,1833,Team 1
7_38,57140,K. Kurtz,149933,M. Berkely,850,7.38,12.79,3.86,-2.72,12.78,16.79,77.02,82.57,67.17,10,0,24.32,15.54,,False,False,False,57.562000000000005,1833,Team 1
7_39,149933,M. Berkely,188659,Aline Gomes,875,25.82,25.87,7.92,19.98,19.03,17.78,23.08,128.89,14.64,6,4,3.85,7.32,,False,False,False,42.830999999999996,1833,Team 1
7_43,151139,L. LaBonta,52566,A. Cook,930,-39.54,-20.93,-35.9,-31.01,10.69,10.72,109.86,-171.14,85.65,10,0,37.77,10.74,,False,False,False,78.60900000000001,2329,Team 2
7_47,52566,A. Cook,151129,V. DiBernardo,950,-21.99,-19.59,-43.77,-20.71,14.0,15.94,-4.68,-176.91,-15.87,5,4,18.6,3.73,,True,False,False,52.49999999999999,2329,Team 2
7_49,151129,V. DiBernardo,151139,L. LaBonta,979,-37.87,-29.89,-27.0,-21.4,11.96,13.79,-142.01,2.93,-149.17,10,-5,33.28,9.67,,False,False,False,62.205000000000005,2329,Team 2
7_56,63796,F. Rauch,149933,M. Berkely,1106,-0.07,25.15,11.63,28.94,10.59,12.3,-162.05,-146.31,-150.17,10,-1,32.72,11.85,,False,False,False,83.52,1833,Team 1
7_57,149933,M. Berkely,57140,K. Kurtz,1127,5.33,22.63,-4.38,25.65,10.67,10.15,-110.54,-152.51,-106.28,10,0,22.18,6.29,424.0,False,False,False,71.96600000000001,1833,Team 1
7_60,57140,K. Kurtz,149933,M. Berkely,1204,-6.74,25.36,-10.7,8.33,15.93,16.55,80.37,-60.02,79.07,10,0,24.29,14.58,424.0,False,False,False,57.95400000000001,1833,Team 1
7_68,57135,C. Murphy,149933,M. Berkely,1320,-25.23,16.02,-37.97,2.65,16.38,16.49,62.7,168.73,57.84,10,0,30.03,8.35,4231.0,False,False,False,69.18599999999999,1833,Team 1
7_70,149933,M. Berkely,57140,K. Kurtz,1363,-36.06,-2.02,-31.13,17.14,15.17,14.26,-100.38,55.95,-99.26,10,0,39.59,9.58,424.0,False,False,False,69.989,1833,Team 1
7_73,57140,K. Kurtz,188612,M. Matsukubo,1410,-5.26,2.26,-32.91,1.41,20.25,21.61,1.46,172.57,0.4,6,4,8.05,5.24,,True,False,False,48.495,1833,Team 1
