event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1864049,179,179,00:09.9,00:09.9,0,9,0.0,1,1,left_to_right,8,player_possession,22542,Marta,19,CF,2334,Orlando Pride,0.4,1.02,3,center,2,middle_third,False,0.4,1.02,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,False,True,6,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-55.01,4,sideway_right,,,0.9,1,jogging,8.39,8.39,0.0,20.43,20.43,20.03,20.03,0.0,34.57,34.57,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,62389,Angelina,14.0,RM,-10.5,-1.18,3,center,2,middle_third,False,-10.46,-1.06,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,12.44,1,short,-169.02,2,backward,,,,,9,9,0,True,True,,True,False
8_1,1,1864049,192,204,00:11.2,00:12.4,0,11,1.2,1,1,left_to_right,8,player_possession,62389,Angelina,14,RM,2334,Orlando Pride,-10.46,-1.06,3,center,2,middle_third,False,-11.15,-2.33,3,center,2,middle_third,False,3,drawing,0,0,0,2,False,False,False,False,6,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.45,-118.52,4,sideway_right,,,4.28,1,jogging,0.9,3.18,2.28,19.38,18.29,29.84,29.44,-0.4,35.62,36.71,1.09,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-169.02,2,backward,12.44,1,short,1,successful,7_3,False,441597,E. Madril Sams,6.0,RCB,-22.33,-3.58,3,center,1,defensive_third,False,-22.11,-4.02,3,center,1,defensive_third,False,0.9985,False,0.0001,False,4,0,0,0,0,0,1,0,0,4,0,4,3,1,1,6,6,False,,,,,,,,,,11.25,1,short,-173.62,2,backward,11.73,1,short,175.35,2,backward,False,10,10,0,10,10,0,True,True,True,True,False
8_2,2,1864049,216,227,00:13.6,00:14.7,0,13,1.1,1,1,left_to_right,8,player_possession,441597,E. Madril Sams,6,RCB,2334,Orlando Pride,-22.11,-4.02,3,center,1,defensive_third,False,-20.87,-3.54,3,center,1,defensive_third,False,3,drawing,0,0,0,3,False,False,False,False,6,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.21,21.16,1,forward,,,4.27,1,jogging,11.87,8.36,-3.5,16.55,14.64,38.66,35.51,-3.15,38.45,40.36,1.91,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,175.35,2,backward,11.73,1,short,1,successful,7_5,False,149954,K. Strom,4.0,LCB,-25.65,14.56,2,half_space_left,1,defensive_third,False,-27.24,16.39,2,half_space_left,1,defensive_third,False,0.9992,False,0.0,False,3,1,1,1,0,0,1,0,0,3,0,3,2,1,2,7,8,True,442.0,3,False,False,False,,,,,18.72,2,medium,104.79,3,sideway_left,17.56,2,medium,104.24,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_3,3,1864049,243,275,00:16.3,00:19.5,0,16,3.2,1,1,left_to_right,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-27.24,16.39,2,half_space_left,1,defensive_third,False,-20.44,16.27,2,half_space_left,1,defensive_third,False,3,drawing,0,0,0,4,False,False,False,False,6,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,7.59,-1.01,1,forward,False,False,8.43,1,jogging,16.27,15.09,-1.18,12.75,12.66,39.99,33.1,-6.89,42.25,42.34,0.09,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,104.24,3,sideway_left,17.56,2,medium,1,successful,7_8,False,441597,E. Madril Sams,6.0,RCB,-22.42,3.59,3,center,1,defensive_third,False,-22.01,4.04,3,center,1,defensive_third,False,0.9997,False,0.0001,False,4,0,1,1,0,0,4,0,0,4,0,2,3,2,4,8,9,True,424.0,3,False,False,False,,,,,12.83,1,short,-98.88,4,sideway_right,12.93,1,short,-106.58,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_4,4,1864049,288,336,00:20.8,00:25.6,0,20,4.8,1,1,left_to_right,8,player_possession,441597,E. Madril Sams,6,RCB,2334,Orlando Pride,-22.01,4.04,3,center,1,defensive_third,False,-14.05,4.12,3,center,2,middle_third,False,3,drawing,0,0,0,5,False,False,True,False,6,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,8.76,0.58,1,forward,False,False,6.49,1,jogging,13.93,9.06,-4.87,12.81,15.56,34.82,29.61,-5.21,42.19,39.44,-2.75,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-106.58,4,sideway_right,12.93,1,short,1,successful,7_13,False,149954,K. Strom,4.0,LCB,-15.45,17.85,2,half_space_left,2,middle_third,False,-14.25,18.77,2,half_space_left,2,middle_third,False,0.9987,False,0.0002,False,3,0,1,0,0,1,3,0,0,3,0,1,2,1,3,8,9,True,424.0,3,False,False,False,,,,,13.8,1,short,95.82,3,sideway_left,13.57,1,short,91.61,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_5,5,1864049,349,364,00:26.9,00:28.4,0,26,1.5,1,1,left_to_right,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-14.25,18.77,2,half_space_left,2,middle_third,False,-10.88,21.36,1,wide_left,2,middle_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,3.99,37.54,1,forward,True,False,10.14,1,jogging,10.79,7.63,-3.16,16.62,18.93,30.87,29.81,-1.06,38.38,36.07,-2.31,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,91.61,3,sideway_left,13.57,1,short,2,unsuccessful,7_16,,62445,B. Banda,19.0,CF,18.28,13.48,2,half_space_left,2,middle_third,False,,,,,,,,0.494,True,0.0125,False,3,1,3,0,2,1,3,0,0,2,1,3,3,3,3,8,8,True,442.0,3,True,True,True,3,last,1,through,30.21,3,long,-15.12,1,forward,,,,,,,True,10,2,8,10,10,0,True,True,True,True,False
8_6,6,1864049,386,386,00:30.6,00:30.6,0,30,0.0,1,2,right_to_left,8,player_possession,52566,A. Cook,6,RCB,2329,KC Current,-27.86,-20.35,5,wide_right,1,defensive_third,False,-27.86,-20.35,5,wide_right,1,defensive_third,False,3,drawing,0,0,2,1,True,False,True,True,1,False,5,chaotic,5,chaotic,1,create,9,medium_block,15,defending_direct,6,direct,,,11,throw_in_for,False,False,0.0,-135.0,2,backward,,,17.58,2,running,4.3,4.3,0.0,11.97,11.97,39.83,39.83,0.0,43.03,43.03,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,,False
8_7,7,1864049,535,535,00:45.5,00:45.5,0,45,0.0,1,2,right_to_left,8,player_possession,22541,Debinha,19,CF,2329,KC Current,-11.61,-19.82,4,half_space_right,2,middle_third,False,-11.61,-19.82,4,half_space_right,2,middle_third,False,3,drawing,0,0,3,1,False,False,False,True,11,False,1,create,9,medium_block,0,build_up,10,high_block,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,0.0,92.6,3,sideway_left,,,4.84,1,jogging,2.88,2.88,0.0,-0.61,-0.61,11.0,11.0,0.0,55.61,55.61,0.0,True,True,7,throw_in_reception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,7_17,,151129,V. DiBernardo,14.0,RM,-19.95,-22.91,5,wide_right,1,defensive_third,False,-17.74,-20.75,5,wide_right,2,middle_third,False,0.6784,False,0.0008,False,3,1,0,0,0,0,0,0,0,1,2,,,,,1,1,False,,,,,,,,,,8.89,1,short,-159.67,2,backward,9.73,1,short,-151.78,2,backward,False,4,7,-3,4,4,0,True,True,,True,False
8_8,8,1864049,543,543,00:46.3,00:46.3,0,46,0.0,1,2,right_to_left,8,player_possession,151129,V. DiBernardo,14,RM,2329,KC Current,-17.74,-20.75,5,wide_right,2,middle_third,False,-17.74,-20.75,5,wide_right,2,middle_third,False,3,drawing,0,0,3,2,False,False,False,False,11,False,1,create,9,medium_block,0,build_up,10,high_block,5,chaotic,5,chaotic,,,,,False,False,0.0,43.96,1,forward,,,13.96,1,jogging,1.46,1.46,0.0,0.26,0.26,18.0,18.0,0.0,54.74,54.74,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,-151.78,2,backward,9.73,1,short,1,successful,7_22,True,816480,C. Hutton,12.0,LM,-15.63,-8.87,3,center,2,middle_third,False,-10.0,-3.62,3,center,2,middle_third,False,0.7988,False,0.0017,False,4,1,1,0,0,1,2,0,0,2,2,,,,,4,4,True,451.0,2,,False,False,,,,,12.07,1,short,79.93,3,sideway_left,10.1,1,short,120.73,3,sideway_left,False,7,5,2,7,7,0,True,True,True,True,False
8_9,9,1864049,563,571,00:48.3,00:49.1,0,48,0.8,1,2,right_to_left,8,player_possession,816480,C. Hutton,12,LM,2329,KC Current,-10.0,-3.62,3,center,2,middle_third,False,-9.74,-3.12,3,center,2,middle_third,False,3,drawing,0,0,3,3,False,False,False,False,11,False,1,create,9,medium_block,0,build_up,10,high_block,5,chaotic,5,chaotic,,,,,False,False,0.58,62.53,3,sideway_left,,,2.75,1,jogging,1.72,2.95,1.24,3.32,4.73,13.32,14.47,1.15,51.68,50.27,-1.41,True,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,120.73,3,sideway_left,10.1,1,short,1,successful,7_28,False,151139,L. LaBonta,10.0,DM,-19.67,-8.49,3,center,1,defensive_third,False,-18.43,-5.89,3,center,1,defensive_third,False,0.9889,False,0.0003,False,5,2,2,0,1,1,2,0,0,4,1,5,5,2,2,4,3,True,4321.0,3,False,False,False,,,,,11.29,1,short,-151.6,2,backward,11.6,1,short,-149.76,2,backward,False,7,9,-2,7,5,-2,True,True,True,True,False
