event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1864049,211,227,00:13.1,00:14.7,0,13,1.6,1,1,left_to_right,1,off_ball_run,7,pulling_wide,151602,A. Watt,17,RW,441597,E. Madril Sams,6,RCB,2334,Orlando Pride,-4.86,-13.46,4,half_space_right,2,middle_third,False,-2.79,-20.95,5,wide_right,2,middle_third,False,8_2,216,3,drawing,0,0,0,1,create,9,medium_block,False,False,7.78,-74.55,4,sideway_right,True,False,,,,6.12,16.17,10.05,17.3,14.64,22.16,17.43,-4.73,37.7,40.36,2.66,False,False,3,ahead,3,ahead,19.91,25.1,-22.32,-3.9,3,center,1,defensive_third,False,-20.87,-3.54,3,center,1,defensive_third,False,False,False,,False,False,0.0009,0.8601,0.7,True,True,0,False,,,,True,7,7,0,True,True,
1_1,1,1864049,361,374,00:28.1,00:29.4,0,28,1.3,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,149882,K. Abello,2,LB,149954,K. Strom,4,LCB,2334,Orlando Pride,4.96,34.09,1,wide_left,2,middle_third,False,10.98,33.08,1,wide_left,2,middle_third,False,8_5,349,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,5.66,-9.52,1,forward,False,False,16.97,2,running,10.44,6.55,-3.88,18.2,22.95,13.24,11.97,-1.27,36.8,32.05,-4.75,False,False,3,ahead,3,ahead,21.18,22.81,-11.65,20.95,1,wide_left,2,middle_third,False,-8.73,21.59,1,wide_left,2,middle_third,False,False,False,,False,False,0.003,0.7021,0.7972,True,True,0,False,,,,True,5,5,0,True,True,
1_2,2,1864049,526,535,00:44.6,00:45.5,0,44,0.9,1,2,right_to_left,1,off_ball_run,9,support,188178,M. Cooper,20,RF,22541,Debinha,19,CF,2329,KC Current,-15.94,-29.76,5,wide_right,2,middle_third,False,-12.13,-27.94,5,wide_right,2,middle_third,False,8_7,535,3,drawing,0,0,3,1,create,9,medium_block,False,False,3.74,25.53,1,forward,False,False,16.81,2,running,0.63,2.68,2.05,-1.25,-0.61,14.69,11.52,-3.17,56.25,55.61,-0.64,True,True,1,behind,2,same_line,9.7,8.14,-11.49,-21.14,5,wide_right,2,middle_third,False,-11.61,-19.82,4,half_space_right,2,middle_third,False,False,False,,False,True,0.0036,0.5509,0.7268,True,True,0,False,,,,True,4,4,0,True,True,
1_3,3,1864049,546,557,00:46.6,00:47.7,0,46,1.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,816480,C. Hutton,12,LM,151129,V. DiBernardo,14,RM,2329,KC Current,-14.6,-8.26,3,center,2,middle_third,False,-10.94,-5.04,3,center,2,middle_third,False,8_8,543,3,drawing,0,0,3,1,create,9,medium_block,False,False,4.48,41.34,1,forward,False,False,15.86,2,running,7.01,1.72,-5.29,0.69,2.34,15.29,13.28,-2.01,54.31,52.66,-1.65,True,True,2,same_line,2,same_line,11.97,13.32,-16.88,-20.01,4,half_space_right,2,middle_third,False,-12.98,-18.2,4,half_space_right,2,middle_third,False,True,True,False,False,False,0.0017,0.7988,0.9406,True,True,0,False,,,,True,5,6,1,True,True,True
1_4,4,1864049,547,576,00:46.7,00:49.6,0,46,2.9,1,2,right_to_left,1,off_ball_run,9,support,816481,E. Wheeler,2,LB,816480,C. Hutton,12,LM,2329,KC Current,-23.69,9.22,2,half_space_left,1,defensive_third,False,-10.58,16.55,2,half_space_left,2,middle_third,False,8_9,563,3,drawing,0,0,3,1,create,9,medium_block,False,False,14.64,29.21,1,forward,False,False,16.11,2,running,13.29,17.53,4.24,0.85,5.76,24.54,16.34,-8.2,54.15,49.24,-4.91,False,False,1,behind,2,same_line,19.67,19.53,-14.24,-8.03,3,center,2,middle_third,False,-9.63,-2.96,3,center,2,middle_third,False,False,False,,False,False,0.0007,0.9144,0.9571,True,True,1,False,,,,True,8,9,1,True,True,
1_5,5,1864049,551,571,00:47.1,00:49.1,0,47,2.0,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,22541,Debinha,19,CF,816480,C. Hutton,12,LM,2329,KC Current,-10.2,-15.81,4,half_space_right,2,middle_third,False,-3.13,-6.47,3,center,2,middle_third,False,8_9,563,3,drawing,0,0,3,1,create,9,medium_block,False,False,11.73,52.88,3,sideway_left,False,True,20.97,3,hsr,4.22,6.55,2.33,1.56,4.73,11.76,7.86,-3.9,53.44,50.27,-3.17,True,True,2,same_line,3,ahead,9.24,7.41,-12.82,-6.95,3,center,2,middle_third,False,-9.74,-3.12,3,center,2,middle_third,False,False,False,,False,False,0.0041,0.8408,0.8302,True,True,1,False,,,,True,4,4,0,True,True,
1_6,6,1864049,843,860,01:16.3,01:18.0,1,16,1.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,151139,L. LaBonta,10,DM,816480,C. Hutton,12,LM,2329,KC Current,-12.33,7.69,3,center,2,middle_third,False,-5.07,11.14,2,half_space_left,2,middle_third,False,8_20,845,3,drawing,0,0,5,1,create,9,medium_block,False,False,7.63,25.42,1,forward,True,False,16.91,2,running,3.16,2.17,-0.99,8.93,9.78,21.26,14.85,-6.41,46.07,45.22,-0.85,True,True,2,same_line,3,ahead,14.14,8.53,-12.35,21.83,1,wide_left,2,middle_third,False,-8.72,18.85,2,half_space_left,2,middle_third,False,True,True,False,False,False,0.0033,0.8217,0.8597,True,True,0,False,,,,True,6,7,1,True,True,True
1_7,7,1864049,858,867,01:17.8,01:18.7,1,17,0.9,1,2,right_to_left,1,off_ball_run,6,pulling_half_space,22541,Debinha,19,CF,151139,L. LaBonta,10,DM,2329,KC Current,4.95,8.53,3,center,2,middle_third,False,4.57,12.34,2,half_space_left,2,middle_third,False,8_21,861,3,drawing,0,0,5,1,create,9,medium_block,False,False,3.42,95.7,3,sideway_left,True,False,15.29,2,running,5.69,4.24,-1.45,9.65,10.68,4.7,6.11,1.41,45.35,44.32,-1.03,True,True,3,ahead,3,ahead,11.05,7.62,-5.86,10.82,2,half_space_left,2,middle_third,False,-3.05,12.51,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0033,0.9521,0.9548,True,True,0,False,,,,True,4,4,0,True,True,
1_8,8,1864049,944,958,01:26.4,01:27.8,1,26,1.4,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,22542,Marta,19,CF,2334,Orlando Pride,8.7,-11.11,4,half_space_right,2,middle_third,False,13.39,-15.64,4,half_space_right,2,middle_third,False,8_27,945,3,drawing,0,0,6,1,create,9,medium_block,False,False,6.54,-44.01,1,forward,False,False,16.66,2,running,2.32,5.49,3.17,14.8,18.23,6.1,4.84,-1.26,40.2,36.77,-3.43,True,True,2,same_line,3,ahead,7.05,8.35,7.12,-17.98,4,half_space_right,2,middle_third,False,5.06,-15.1,4,half_space_right,2,middle_third,False,False,False,,False,True,0.012,0.527,0.823,True,True,1,False,,,,True,2,2,0,True,True,
1_9,9,1864049,963,985,01:28.3,01:30.5,1,28,2.2,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,149882,K. Abello,2,LB,22542,Marta,19,CF,2334,Orlando Pride,-8.1,17.52,2,half_space_left,2,middle_third,False,2.1,20.69,1,wide_left,2,middle_third,False,8_27,945,3,drawing,0,0,6,1,create,9,medium_block,False,False,10.69,17.26,1,forward,False,False,17.37,2,running,7.92,11.9,3.98,19.27,20.99,27.37,18.89,-8.48,35.73,34.01,-1.72,False,False,1,behind,3,ahead,33.26,25.56,3.98,-13.47,4,half_space_right,2,middle_third,False,-1.3,-4.64,3,center,2,middle_third,False,False,False,,False,True,0.0066,0.6497,0.896,True,False,1,False,,,,False,6,10,4,True,True,
