event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1848387,144,145,00:06.4,00:06.5,0,6,0.1,1,2,right_to_left,7,passing_option,149933,M. Berkely,4,LCB,57140,K. Kurtz,6,RCB,1833,NC Courage,-14.12,13.68,2,half_space_left,2,middle_third,False,-14.17,13.76,2,half_space_left,2,middle_third,False,8_1,144,,,,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,0.38,120.34,3,sideway_left,False,False,3.39,1,jogging,17.72,17.57,-0.14,21.92,21.8,36.04,35.97,-0.07,30.58,30.7,0.12,False,False,,True,541.0,2,,,,False,,,False,,,,,,,12.34,1,short,83.44,3,sideway_left,,,,,,,False,10,10,0,2,same_line,2,same_line,12.34,12.48,-15.53,1.42,3,center,2,middle_third,False,-15.5,1.35,3,center,2,middle_third,False,False,False,,False,False,0.0002,0.998,0.6142,True,144,True,1,False,True,True,,False
7_1,1,1848387,144,158,00:06.4,00:07.8,0,6,1.4,1,2,right_to_left,7,passing_option,18897,R. Williams,8,RB,57140,K. Kurtz,6,RCB,1833,NC Courage,-8.68,-10.43,4,half_space_right,2,middle_third,False,-5.15,-12.4,4,half_space_right,2,middle_third,False,8_1,144,,,,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,4.05,-29.16,1,forward,False,False,10.4,1,jogging,6.23,8.04,1.81,21.92,21.67,30.6,26.82,-3.78,30.58,30.83,0.25,False,False,,True,541.0,2,,,,False,,,False,,,,,,,14.03,1,short,-57.58,4,sideway_right,,,,,,,True,10,10,0,3,ahead,3,ahead,13.69,15.02,-15.53,1.42,3,center,2,middle_third,False,-14.12,-0.35,3,center,2,middle_third,False,False,False,,False,False,0.0012,0.975,0.7696,True,148,True,2,True,True,True,,False
7_2,2,1848387,156,158,00:07.6,00:07.8,0,7,0.2,1,2,right_to_left,7,passing_option,62480,Kerolin,20,RF,57140,K. Kurtz,6,RCB,1833,NC Courage,4.25,-19.89,4,half_space_right,2,middle_third,False,5.11,-19.8,4,half_space_right,2,middle_third,False,8_1,144,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,1.55,4.02,1,forward,False,False,14.33,1,jogging,5.33,5.07,-0.26,21.46,21.67,17.21,16.56,-0.65,31.04,30.83,-0.21,False,False,,True,541.0,2,,,,True,1,through,False,,,2,second_last,1,through,27.35,2,medium,-45.33,4,sideway_right,,,,,,,True,10,7,3,3,ahead,3,ahead,27.23,27.35,-14.47,-0.12,3,center,2,middle_third,False,-14.12,-0.35,3,center,2,middle_third,False,True,False,,False,False,0.0008,0.6553,0.3689,False,158,False,1,False,True,True,,False
7_3,3,1848387,322,322,00:24.2,00:24.2,0,24,0.0,1,2,right_to_left,7,passing_option,18897,R. Williams,8,RB,75099,A. Sanchez,10,DM,1833,NC Courage,7.24,-34.27,5,wide_right,2,middle_third,False,7.24,-34.27,5,wide_right,2,middle_third,False,8_5,322,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,0.0,16.48,1,forward,False,False,7.35,1,jogging,6.8,6.8,0.0,24.78,24.78,17.54,17.54,0.0,27.72,27.72,0.0,False,False,,False,,,,,,,,,,,,,,,,6.54,1,short,-115.35,4,sideway_right,,,,,,,False,7,9,-2,2,same_line,2,same_line,6.54,6.54,10.04,-28.36,5,wide_right,2,middle_third,False,10.04,-28.36,5,wide_right,2,middle_third,False,False,False,,False,False,0.0014,0.8728,0.9853,True,322,True,1,True,True,True,,False
7_4,4,1848387,322,322,00:24.2,00:24.2,0,24,0.0,1,2,right_to_left,7,passing_option,57136,D. O'Sullivan,14,RM,75099,A. Sanchez,10,DM,1833,NC Courage,5.31,-25.47,5,wide_right,2,middle_third,False,5.31,-25.47,5,wide_right,2,middle_third,False,8_5,322,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,0.0,-141.34,2,backward,False,False,5.64,1,jogging,2.99,1.7,-1.28,24.78,24.78,19.47,19.47,0.0,27.72,27.72,0.0,True,True,False,False,,,,,,,,,,,,,,,,5.54,1,short,148.58,2,backward,4.73,1,short,111.73,3,sideway_left,False,7,9,-2,1,behind,1,behind,5.54,5.54,10.04,-28.36,5,wide_right,2,middle_third,False,10.04,-28.36,5,wide_right,2,middle_third,False,True,True,False,False,False,0.0011,0.6642,0.6508,True,322,True,1,True,True,True,True,False
7_5,5,1848387,336,347,00:25.6,00:26.7,0,25,1.1,1,2,right_to_left,7,passing_option,149933,M. Berkely,4,LCB,57136,D. O'Sullivan,14,RM,1833,NC Courage,-4.44,-7.5,3,center,2,middle_third,False,-3.81,-4.09,3,center,2,middle_third,False,8_6,336,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,3.15,79.53,3,sideway_left,False,False,11.32,1,jogging,14.31,12.14,-2.17,23.45,22.53,27.89,26.34,-1.55,29.05,29.97,0.92,False,False,False,True,4321.0,3,False,,,False,,,False,,,,,,,18.58,2,medium,114.32,3,sideway_left,8.67,1,short,127.27,3,sideway_left,False,9,10,-1,1,behind,1,behind,19.0,18.58,4.62,-24.2,5,wide_right,2,middle_third,False,3.84,-21.02,5,wide_right,2,middle_third,False,True,True,True,False,False,0.0008,0.9941,0.9451,True,347,True,1,True,True,True,True,False
7_6,6,1848387,342,347,00:26.2,00:26.7,0,26,0.5,1,2,right_to_left,7,passing_option,63796,F. Rauch,2,LB,57136,D. O'Sullivan,14,RM,1833,NC Courage,8.29,-0.79,3,center,2,middle_third,False,8.45,0.24,3,center,2,middle_third,False,8_6,336,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,0.8,81.17,3,sideway_left,False,False,7.53,1,jogging,14.27,13.66,-0.6,22.96,22.53,14.67,14.08,-0.59,29.54,29.97,0.43,False,False,,True,4321.0,3,False,,,False,,,False,,,,,,,21.75,2,medium,77.77,3,sideway_left,,,,,,,True,9,7,2,3,ahead,3,ahead,22.17,21.75,4.33,-22.6,5,wide_right,2,middle_third,False,3.84,-21.02,5,wide_right,2,middle_third,False,False,False,,False,False,0.0039,0.9419,0.75,True,347,False,1,True,True,True,,False
7_7,7,1848387,378,380,00:29.8,00:30.0,0,29,0.2,1,2,right_to_left,7,passing_option,57135,C. Murphy,1,GK,149933,M. Berkely,4,LCB,1833,NC Courage,-33.97,-0.96,3,center,1,defensive_third,False,-34.03,-0.75,3,center,1,defensive_third,False,8_7,378,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,0.46,105.52,3,sideway_left,False,False,,,,30.55,30.43,-0.12,18.87,18.6,52.84,52.63,-0.21,33.63,33.9,0.27,False,False,,True,4231.0,3,False,,,False,,,False,,,,,,,22.42,2,medium,-173.08,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,22.42,22.17,-11.71,1.74,3,center,2,middle_third,False,-12.03,1.97,3,center,2,middle_third,False,False,False,,False,False,0.0,0.9984,0.6168,True,378,True,1,False,True,True,,True
7_8,8,1848387,379,387,00:29.9,00:30.7,0,29,0.8,1,2,right_to_left,7,passing_option,57140,K. Kurtz,6,RCB,149933,M. Berkely,4,LCB,1833,NC Courage,-11.21,-10.54,4,half_space_right,2,middle_third,False,-11.33,-7.3,3,center,2,middle_third,False,8_7,378,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,3.25,92.12,3,sideway_left,False,True,14.62,1,jogging,7.6,7.37,-0.24,18.73,17.9,29.94,29.23,-0.71,33.77,34.6,0.83,False,False,False,True,4231.0,3,False,,,False,,,False,,,,,,,10.11,1,short,-83.41,4,sideway_right,12.45,1,short,-86.08,4,sideway_right,False,10,10,0,2,same_line,2,same_line,12.42,10.11,-11.88,1.86,3,center,2,middle_third,False,-12.49,2.74,3,center,2,middle_third,False,True,True,True,False,False,0.0004,0.9982,0.8757,True,387,True,1,True,True,True,True,False
7_9,9,1848387,397,397,00:31.7,00:31.7,0,31,0.0,1,2,right_to_left,7,passing_option,149933,M. Berkely,4,LCB,57140,K. Kurtz,6,RCB,1833,NC Courage,-12.18,5.12,3,center,2,middle_third,False,-12.18,5.12,3,center,2,middle_third,False,8_8,397,,,,3,drawing,0,0,5,1,create,9,medium_block,False,False,0.0,80.22,3,sideway_left,False,False,10.54,1,jogging,12.84,11.58,-1.27,17.46,17.46,29.64,29.64,0.0,35.04,35.04,0.0,False,False,False,True,4231.0,3,False,,,False,,,False,,,,,,,8.65,1,short,98.04,3,sideway_left,5.59,1,short,113.4,3,sideway_left,False,10,10,0,2,same_line,2,same_line,8.65,8.65,-10.97,-3.45,3,center,2,middle_third,False,-10.97,-3.45,3,center,2,middle_third,False,True,True,True,False,False,0.0003,0.9977,0.9625,True,397,True,0,True,True,True,True,False
