event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1848387,128,128,00:04.8,00:04.8,0,4,0.0,1,2,right_to_left,8,player_possession,188612,M. Matsukubo,19,CF,1833,NC Courage,1.43,-0.62,3,center,2,middle_third,False,1.43,-0.62,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,2,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,169.11,2,backward,,,1.83,1,jogging,8.85,8.85,0.0,23.35,23.35,21.92,21.92,0.0,29.15,29.15,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,57140,K. Kurtz,6.0,RCB,-15.73,1.91,3,center,2,middle_third,False,-15.53,1.42,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,19.17,2,medium,176.89,2,backward,,,,,9,9,0,True,True,,True,False
8_1,1,1848387,144,158,00:06.4,00:07.8,0,6,1.4,1,2,right_to_left,8,player_possession,57140,K. Kurtz,6,RCB,1833,NC Courage,-15.53,1.42,3,center,2,middle_third,False,-14.12,-0.35,3,center,2,middle_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,2.31,-51.46,4,sideway_right,False,False,5.88,1,jogging,15.33,8.02,-7.31,21.92,21.67,37.45,35.79,-1.66,30.58,30.83,0.25,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,176.89,2,backward,19.17,2,medium,2,unsuccessful,7_2,,62480,Kerolin,20.0,RF,5.11,-19.8,4,half_space_right,2,middle_third,False,,,,,,,,0.6553,False,0.0008,False,3,1,1,0,1,0,2,0,0,3,0,2,2,1,2,9,9,True,541.0,2,,True,False,2,second_last,1,through,27.35,2,medium,-45.33,4,sideway_right,,,,,,,True,10,7,3,10,10,0,True,True,True,True,False
8_2,2,1848387,182,182,00:10.2,00:10.2,0,10,0.0,1,1,left_to_right,8,player_possession,151127,K. Sharples,4,LCB,2329,KC Current,-27.91,16.98,2,half_space_left,1,defensive_third,False,-27.91,16.98,2,half_space_left,1,defensive_third,False,3,drawing,0,0,2,1,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,120.49,3,sideway_left,,,17.86,2,running,11.61,11.61,0.0,9.05,9.05,36.96,36.96,0.0,43.45,43.45,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,816479,T. Chawinga,16.0,LW,-9.99,18.13,2,half_space_left,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
8_3,3,1848387,192,192,00:11.2,00:11.2,0,11,0.0,1,2,right_to_left,8,player_possession,62480,Kerolin,20,RF,1833,NC Courage,19.32,-21.64,5,wide_right,3,attacking_third,False,19.32,-21.64,5,wide_right,3,attacking_third,False,3,drawing,0,0,3,2,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,,,False,False,0.0,-58.43,4,sideway_right,,,14.01,1,jogging,5.51,5.51,0.0,30.65,30.65,11.33,11.33,0.0,21.85,21.85,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,18897,R. Williams,8.0,RB,10.37,-21.29,5,wide_right,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,True,True,True,False,False
8_4,4,1848387,207,207,00:12.7,00:12.7,0,12,0.0,1,1,left_to_right,8,player_possession,816479,T. Chawinga,16,LW,2329,KC Current,-15.96,26.1,1,wide_left,2,middle_third,False,-15.96,26.1,1,wide_left,2,middle_third,False,3,drawing,0,0,4,3,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,12,throw_in_against,False,False,0.0,119.29,3,sideway_left,,,13.49,1,jogging,1.16,1.16,0.0,2.72,2.72,18.68,18.68,0.0,49.78,49.78,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,False,False,True,,False
8_5,5,1848387,322,322,00:24.2,00:24.2,0,24,0.0,1,2,right_to_left,8,player_possession,75099,A. Sanchez,10,DM,1833,NC Courage,10.04,-28.36,5,wide_right,2,middle_third,False,10.04,-28.36,5,wide_right,2,middle_third,False,3,drawing,0,0,5,1,True,False,False,True,7,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,0.0,-119.09,4,sideway_right,,,11.67,1,jogging,1.15,1.15,0.0,24.78,24.78,14.74,14.74,0.0,27.72,27.72,0.0,True,True,7,throw_in_reception,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_4,False,57136,D. O'Sullivan,14.0,RM,5.31,-25.47,5,wide_right,2,middle_third,False,4.62,-24.2,5,wide_right,2,middle_third,False,0.6642,False,0.0011,False,2,0,0,0,0,0,0,0,0,2,0,,,,,3,3,False,,,,,,,,,,5.54,1,short,148.58,2,backward,4.73,1,short,111.73,3,sideway_left,False,7,9,-2,7,7,0,True,True,,True,False
8_6,6,1848387,336,347,00:25.6,00:26.7,0,25,1.1,1,2,right_to_left,8,player_possession,57136,D. O'Sullivan,14,RM,1833,NC Courage,4.62,-24.2,5,wide_right,2,middle_third,False,3.84,-21.02,5,wide_right,2,middle_third,False,3,drawing,0,0,5,2,False,False,False,False,7,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,2.96,103.78,3,sideway_left,False,False,10.64,1,jogging,1.7,1.09,-0.62,23.45,22.53,18.83,18.69,-0.14,29.05,29.97,0.92,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,111.73,3,sideway_left,4.73,1,short,1,successful,7_5,False,149933,M. Berkely,4.0,LCB,-3.81,-4.09,3,center,2,middle_third,False,-11.71,1.74,3,center,2,middle_third,False,0.9941,False,0.0008,False,2,0,0,0,0,0,1,0,0,2,0,1,2,0,1,7,7,True,4321.0,3,False,False,False,,,,,18.58,2,medium,114.32,3,sideway_left,8.67,1,short,127.27,3,sideway_left,False,9,10,-1,9,9,0,True,True,True,True,False
8_7,7,1848387,378,387,00:29.8,00:30.7,0,29,0.9,1,2,right_to_left,8,player_possession,149933,M. Berkely,4,LCB,1833,NC Courage,-11.71,1.74,3,center,2,middle_third,False,-12.49,2.74,3,center,2,middle_third,False,3,drawing,0,0,5,3,False,False,False,False,7,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,1.19,127.95,3,sideway_left,,,5.41,1,jogging,12.14,11.53,-0.61,18.87,17.9,30.58,30.39,-0.19,33.63,34.6,0.97,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,127.27,3,sideway_left,8.67,1,short,1,successful,7_8,False,57140,K. Kurtz,6.0,RCB,-11.33,-7.3,3,center,2,middle_third,False,-10.97,-3.45,3,center,2,middle_third,False,0.9982,False,0.0004,False,2,0,0,0,0,0,0,0,0,2,0,2,1,0,0,9,9,True,4231.0,3,False,False,False,,,,,10.11,1,short,-83.41,4,sideway_right,12.45,1,short,-86.08,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_8,8,1848387,397,397,00:31.7,00:31.7,0,31,0.0,1,2,right_to_left,8,player_possession,57140,K. Kurtz,6,RCB,1833,NC Courage,-10.97,-3.45,3,center,2,middle_third,False,-10.97,-3.45,3,center,2,middle_third,False,3,drawing,0,0,5,4,False,False,False,False,7,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,0.0,82.69,3,sideway_left,,,13.58,1,jogging,7.37,7.37,0.0,17.46,17.46,28.43,28.43,0.0,35.04,35.04,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,-86.08,4,sideway_right,12.45,1,short,1,successful,7_9,False,149933,M. Berkely,4.0,LCB,-12.18,5.12,3,center,2,middle_third,False,-10.73,9.46,2,half_space_left,2,middle_third,False,0.9977,False,0.0003,False,1,0,0,0,0,0,0,0,0,1,0,,,,,8,8,True,4231.0,3,False,False,False,,,,,8.65,1,short,98.04,3,sideway_left,5.59,1,short,113.4,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_9,9,1848387,409,423,00:32.9,00:34.3,0,32,1.4,1,2,right_to_left,8,player_possession,149933,M. Berkely,4,LCB,1833,NC Courage,-10.73,9.46,2,half_space_left,2,middle_third,False,-7.86,14.36,2,half_space_left,2,middle_third,False,3,drawing,0,0,5,5,False,False,False,False,7,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,5.68,59.64,3,sideway_left,False,False,14.58,1,jogging,11.58,7.59,-3.99,16.85,16.56,27.58,24.42,-3.16,35.65,35.94,0.29,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,113.4,3,sideway_left,5.59,1,short,1,successful,7_10,False,63796,F. Rauch,2.0,LB,5.56,26.65,1,wide_left,2,middle_third,False,7.96,28.6,1,wide_left,2,middle_third,False,0.9849,False,0.0006,False,2,0,2,1,1,0,2,0,0,1,1,1,2,1,2,8,9,True,442.0,3,True,False,False,1,first,2,around,18.2,2,medium,42.48,1,forward,14.57,1,short,32.13,1,forward,True,10,7,3,10,10,0,True,True,True,True,False
