player_id,player_name,team_name,total_oris,avg_oris,num_runs
22542,Marta Vieira da Silva,"Orlando Pride SC, Women",15.170000000000002,0.7585000000000001,20
22723,Julia Angela Grosso,"Chicago Red Stars, Women",13.540000000000003,1.3540000000000003,10
22810,Mallory Diane Swanson,"Chicago Red Stars, Women",25.939999999999998,1.7293333333333332,15
22814,Morgan Paige Gautrat,"Orlando Pride SC, Women",13.620000000000001,4.54,3
57112,Natalia Kuikka,"Chicago Red Stars, Women",17.71,2.5300000000000002,7
57138,Carson Pickett,"Orlando Pride SC, Women",9.950000000000001,4.9750000000000005,2
57146,Cari Elizabeth Roccaro,"Chicago Red Stars, Women",7.390000000000001,2.4633333333333334,3
62385,Julia Bianchi,"Chicago Red Stars, Women",1.4700000000000002,0.49000000000000005,3
62389,Angelina Alonso Costantino,"Orlando Pride SC, Women",34.800000000000004,1.5130434782608697,23
62445,Barbra Banda,"Orlando Pride SC, Women",88.57999999999998,2.7681249999999995,32
63540,Adriana Leal da Silva,"Orlando Pride SC, Women",48.17999999999999,2.1899999999999995,22
149860,Camryn Biegalski,"Chicago Red Stars, Women",2.58,0.516,5
149873,Anna Moorhouse,"Orlando Pride SC, Women",-0.11000000000000001,-0.11000000000000001,1
149882,Kerry Abello,"Orlando Pride SC, Women",37.18,2.6557142857142857,14
149954,Kylie Strom,"Orlando Pride SC, Women",3.03,1.01,3
151077,Julie Doyle,"Orlando Pride SC, Women",19.219999999999995,1.3728571428571426,14
151149,Shea Groom,"Chicago Red Stars, Women",13.07,2.614,5
151151,Haley Hanson McCutcheon,"Orlando Pride SC, Women",28.25,1.5694444444444444,18
151186,Taylor Malham,"Chicago Red Stars, Women",20.3,2.0300000000000002,10
151602,Ally Watt,"Orlando Pride SC, Women",47.52,2.97,16
156934,Viviana Villacorta,"Orlando Pride SC, Women",-0.53,-0.265,2
169682,Leilanni Nesbeth,"Chicago Red Stars, Women",2.37,0.79,3
340954,Jenna Bike,"Chicago Red Stars, Women",25.93,3.24125,8
441597,Emily Madril,"Orlando Pride SC, Women",4.21,1.0525,4
610122,Summer Yates,"Orlando Pride SC, Women",10.469999999999999,0.9518181818181817,11
627434,Ally Schlegel,"Chicago Red Stars, Women",4.390000000000001,0.3658333333333334,12
816413,Hannah Anderson,"Chicago Red Stars, Women",-0.23,-0.115,2
817541,Coriana Dyke,"Orlando Pride SC, Women",30.43,3.381111111111111,9
817547,Bea Franklin,"Chicago Red Stars, Women",1.17,0.23399999999999999,5
817610,Jameese Joseph,"Chicago Red Stars, Women",21.32,1.4213333333333333,15
817614,Ally Cook,"Chicago Red Stars, Women",3.2399999999999998,0.6479999999999999,5
