event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1875301,213,238,00:13.3,00:15.8,0,13,2.5,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,149873,A. Moorhouse,1,GK,2334,Orlando Pride,2.82,13.21,2,half_space_left,2,middle_third,False,15.23,12.52,2,half_space_left,2,middle_third,False,8_1,228,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,12.07,-3.18,1,forward,False,False,17.95,2,running,9.53,3.4,-6.13,23.99,24.57,21.17,9.34,-11.83,28.51,27.93,-0.58,True,True,3,ahead,3,ahead,30.63,39.28,-25.31,1.1,3,center,1,defensive_third,False,-22.43,1.37,3,center,1,defensive_third,False,False,False,,False,True,0.0073,0.5354,0.9259,True,True,1,False,,,,True,5,8,3,True,True,
1_1,1,1875301,218,238,00:13.8,00:15.8,0,13,2.0,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,63540,Adriana,16,LW,149873,A. Moorhouse,1,GK,2334,Orlando Pride,3.7,16.45,2,half_space_left,2,middle_third,False,12.95,15.72,2,half_space_left,2,middle_third,False,8_1,228,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,9.3,-4.51,1,forward,False,False,16.71,2,running,6.69,7.02,0.33,23.19,24.57,19.49,11.62,-7.87,29.31,27.93,-1.38,True,True,3,ahead,3,ahead,32.58,38.18,-24.98,0.99,3,center,1,defensive_third,False,-22.43,1.37,3,center,1,defensive_third,False,True,False,,False,True,0.0059,0.5522,0.9038,True,True,1,False,,,,True,5,7,2,True,True,
1_2,2,1875301,422,436,00:34.2,00:35.6,0,34,1.4,1,1,left_to_right,1,off_ball_run,9,support,22542,Marta,19,CF,149882,K. Abello,2,LB,2334,Orlando Pride,2.4,22.63,1,wide_left,2,middle_third,False,5.68,17.74,2,half_space_left,2,middle_third,False,8_4,400,3,drawing,0,0,5,2,finish,8,low_block,False,False,5.92,-56.15,4,sideway_right,False,True,15.19,2,running,4.18,5.16,0.99,20.42,23.59,18.02,17.91,-0.11,32.08,28.91,-3.17,True,True,2,same_line,1,behind,3.09,5.54,4.19,25.15,1,wide_left,2,middle_third,False,9.55,21.71,1,wide_left,2,middle_third,False,False,False,,False,False,0.0043,0.9068,0.7432,True,True,1,False,,,,True,9,7,-2,True,True,
1_3,3,1875301,425,448,00:34.5,00:36.8,0,34,2.3,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,63540,Adriana,16,LW,149882,K. Abello,2,LB,2334,Orlando Pride,14.19,25.46,1,wide_left,2,middle_third,False,24.97,19.31,2,half_space_left,3,attacking_third,False,8_4,400,3,drawing,0,0,5,2,finish,8,low_block,False,False,11.99,-29.7,1,forward,False,True,19.24,2,running,1.68,2.16,0.49,20.96,26.89,6.77,1.92,-4.85,31.54,25.61,-5.93,True,True,3,ahead,3,ahead,9.05,12.13,5.24,24.15,1,wide_left,2,middle_third,False,12.99,21.21,1,wide_left,2,middle_third,False,False,False,,True,True,0.0252,0.4785,0.8912,True,False,1,False,,,,True,3,4,1,True,True,
1_4,4,1875301,1162,1178,01:48.2,01:49.8,1,48,1.6,1,2,right_to_left,1,off_ball_run,9,support,59727,C. Krueger,2,LB,68518,L. Santos,12,LM,2333,Washington,18.41,8.6,3,center,3,attacking_third,False,25.42,12.32,2,half_space_left,3,attacking_third,False,8_17,1161,3,drawing,0,0,15,2,finish,8,low_block,False,False,7.94,27.95,1,forward,True,False,17.66,2,running,12.82,7.3,-5.52,35.69,36.89,17.28,11.47,-5.81,16.81,15.61,-1.2,False,False,1,behind,1,behind,16.02,12.36,27.33,-4.71,3,center,3,attacking_third,False,30.7,1.14,3,center,3,attacking_third,False,True,True,True,False,False,0.0183,0.9828,0.9387,True,True,0,False,,,,True,9,9,0,True,True,True
1_5,5,1875301,1183,1199,01:50.3,01:51.9,1,50,1.6,1,2,right_to_left,1,off_ball_run,6,pulling_half_space,662391,R. Kouassi,16,LW,59727,C. Krueger,2,LB,2333,Washington,31.04,5.09,3,center,3,attacking_third,False,34.48,11.09,2,half_space_left,3,attacking_third,False,8_18,1189,3,drawing,0,0,15,2,finish,8,low_block,False,False,7.0,60.17,3,sideway_left,True,False,15.71,2,running,3.03,3.59,0.56,37.2,42.05,6.16,7.57,1.41,15.3,10.45,-4.85,False,False,3,ahead,3,ahead,9.04,7.24,26.74,13.04,2,half_space_left,3,attacking_third,False,27.75,13.77,2,half_space_left,3,attacking_third,False,False,False,,False,False,0.0138,0.8907,0.8782,True,True,0,False,,,,True,7,7,0,True,True,
1_6,6,1875301,1273,1312,01:59.3,02:03.2,1,59,3.9,1,2,right_to_left,1,off_ball_run,10,underlap,627216,P. Metayer,8,RB,119153,T. Rodman,17,RW,2333,Washington,21.39,-15.15,4,half_space_right,3,attacking_third,False,38.73,-28.99,5,wide_right,3,attacking_third,False,8_22,1282,3,drawing,0,0,15,2,finish,8,low_block,False,False,22.38,-38.6,1,forward,True,False,16.61,2,running,8.75,6.54,-2.21,37.84,41.11,16.45,2.38,-14.07,14.66,11.39,-3.27,False,False,1,behind,3,ahead,17.87,8.79,31.81,-29.67,5,wide_right,3,attacking_third,False,30.1,-30.64,5,wide_right,3,attacking_third,False,False,False,,False,False,0.0064,0.9495,0.9352,True,True,0,False,,,,True,4,9,5,True,True,
1_7,7,1875301,1345,1353,02:06.5,02:07.3,2,6,0.8,1,2,right_to_left,1,off_ball_run,9,support,59727,C. Krueger,2,LB,662391,R. Kouassi,16,LW,2333,Washington,31.62,11.38,2,half_space_left,3,attacking_third,False,33.32,14.43,2,half_space_left,3,attacking_third,False,8_24,1340,3,drawing,0,0,17,2,finish,8,low_block,False,False,3.51,60.87,3,sideway_left,False,False,15.63,2,running,1.16,4.32,3.16,45.92,46.4,14.3,13.08,-1.22,6.58,6.1,-0.48,False,False,1,behind,1,behind,11.99,10.05,43.32,8.74,3,center,3,attacking_third,True,43.15,12.36,2,half_space_left,3,attacking_third,True,True,True,True,True,True,0.0249,0.3465,0.854,True,False,0,False,,,,True,7,7,0,True,True,True
1_8,8,1875301,2076,2089,03:19.6,03:20.9,3,19,1.3,1,1,left_to_right,1,off_ball_run,4,dropping_off,441597,E. Madril Sams,6,RCB,22542,Marta,19,CF,2334,Orlando Pride,8.9,-27.54,5,wide_right,2,middle_third,False,3.24,-27.65,5,wide_right,2,middle_third,False,8_31,2040,3,drawing,0,0,21,2,finish,8,low_block,False,False,5.27,-178.89,2,backward,False,False,15.67,2,running,9.15,9.0,-0.15,37.97,34.82,29.07,31.58,2.51,14.53,17.68,3.15,False,False,1,behind,1,behind,13.34,13.27,21.72,-31.24,5,wide_right,3,attacking_third,False,16.18,-30.59,5,wide_right,2,middle_third,False,False,False,,False,False,0.0009,0.9841,0.9841,True,False,0,False,,,,True,10,10,0,True,True,
1_9,9,1875301,2098,2128,03:21.8,03:24.8,3,21,3.0,1,1,left_to_right,1,off_ball_run,4,dropping_off,149882,K. Abello,2,LB,149954,K. Strom,4,LCB,2334,Orlando Pride,11.15,8.86,3,center,2,middle_third,False,2.67,19.81,2,half_space_left,2,middle_third,False,8_32,2128,3,drawing,0,0,22,1,create,9,medium_block,False,False,13.99,127.76,3,sideway_left,True,False,16.72,2,running,14.93,8.24,-6.69,32.32,26.71,21.17,24.04,2.87,20.18,25.79,5.61,False,False,3,ahead,3,ahead,24.22,16.53,-4.04,-10.0,4,half_space_right,2,middle_third,False,-3.66,4.54,3,center,2,middle_third,False,True,True,True,False,False,0.0014,0.9922,0.9881,True,True,0,False,,,,True,10,9,-1,True,True,True
1_10,10,1875301,2129,2167,03:24.9,03:28.7,3,24,3.8,1,1,left_to_right,1,off_ball_run,2,coming_short,63540,Adriana,16,LW,149882,K. Abello,2,LB,2334,Orlando Pride,26.63,8.86,3,center,3,attacking_third,False,17.41,23.65,1,wide_left,2,middle_third,False,8_33,2143,3,drawing,0,0,24,1,create,9,medium_block,False,False,17.91,121.94,3,sideway_left,True,False,16.92,2,running,2.71,1.34,-1.37,26.68,28.29,0.05,10.88,10.83,25.82,24.21,-1.61,True,True,3,ahead,3,ahead,26.62,13.19,2.55,20.2,1,wide_left,2,middle_third,False,5.04,28.24,1,wide_left,2,middle_third,False,False,False,,False,False,0.0062,0.8483,0.8868,True,True,1,False,,,,True,5,1,-4,True,True,
1_11,11,1875301,2138,2153,03:25.8,03:27.3,3,25,1.5,1,1,left_to_right,1,off_ball_run,2,coming_short,151151,H. McCutcheon,12,LM,149882,K. Abello,2,LB,2334,Orlando Pride,12.41,6.25,3,center,2,middle_third,False,10.27,12.27,2,half_space_left,2,middle_third,False,8_33,2143,3,drawing,0,0,24,1,create,9,medium_block,False,False,6.01,109.57,3,sideway_left,True,False,15.39,2,running,9.62,8.62,-0.99,26.84,26.51,14.43,16.24,1.81,25.66,25.99,0.33,True,True,3,ahead,3,ahead,19.9,15.65,2.2,23.33,1,wide_left,2,middle_third,False,4.63,26.87,1,wide_left,2,middle_third,False,False,False,,False,False,0.0048,0.9655,0.8863,True,True,1,False,,,,True,7,7,0,True,True,
