event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1875301,202,202,00:12.2,00:12.2,0,12,0.0,1,1,left_to_right,8,player_possession,22542,Marta,19,CF,2334,Orlando Pride,0.69,1.16,3,center,2,middle_third,False,0.69,1.16,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-45.0,4,sideway_right,,,1.26,1,jogging,8.22,8.22,0.0,25.38,25.38,24.69,24.69,0.0,27.12,27.12,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,149873,A. Moorhouse,1.0,GK,-26.26,1.2,3,center,1,defensive_third,False,-22.3,0.96,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,32.2,3,long,-176.96,2,backward,,,,,9,9,0,True,True,,True,False
8_1,1,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,8,player_possession,149873,A. Moorhouse,1,GK,2334,Orlando Pride,-22.3,0.96,3,center,1,defensive_third,False,-22.3,0.96,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,False,True,True,1,False,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,11,throw_in_for,False,False,0.0,-2.8,1,forward,,,9.79,1,jogging,9.51,9.51,0.0,23.15,23.15,45.45,45.45,0.0,29.35,29.35,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,-176.96,2,backward,32.2,3,long,2,unsuccessful,7_1,,63540,Adriana,16.0,LW,8.36,15.98,2,half_space_left,2,middle_third,False,,,,,,,,0.5522,True,0.0059,False,3,2,3,3,0,0,3,0,0,1,2,,,,,10,10,True,442.0,3,True,False,False,1,first,2,around,34.14,3,long,26.1,1,forward,,,,,,,True,10,5,5,10,10,0,True,True,True,True,False
8_2,2,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,8,player_possession,22542,Marta,19,CF,2334,Orlando Pride,6.56,30.25,1,wide_left,2,middle_third,False,6.56,30.25,1,wide_left,2,middle_third,False,3,drawing,0,0,2,1,False,True,True,True,2,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,6,direct,15,defending_direct,11,throw_in_for,,,False,False,0.0,145.63,2,backward,,,11.9,1,jogging,2.03,2.03,0.0,22.25,22.25,15.69,15.69,0.0,30.25,30.25,0.0,True,True,7,throw_in_reception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,7_3,,149882,K. Abello,2.0,LB,-0.51,33.39,1,wide_left,2,middle_third,False,,,,,,,,0.9482,False,0.0013,False,2,0,0,0,0,0,0,0,0,2,0,,,,,3,3,False,,,,,,,,,,7.74,1,short,156.05,2,backward,,,,,,,False,7,9,-2,7,7,0,True,True,,True,False
8_3,3,1875301,399,399,00:31.9,00:31.9,0,31,0.0,1,2,right_to_left,8,player_possession,119153,T. Rodman,17,RW,2333,Washington,-1.17,-31.56,5,wide_right,2,middle_third,False,-1.17,-31.56,5,wide_right,2,middle_third,False,3,drawing,0,0,3,2,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,0.0,-3.49,1,forward,,,14.22,1,jogging,1.38,1.38,0.0,9.97,9.97,11.14,11.14,0.0,42.53,42.53,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,,,815174,M. Morris,19.0,CF,0.81,-28.97,5,wide_right,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,True,True,True,True,False
8_4,4,1875301,400,454,00:32.0,00:37.4,0,32,5.4,1,1,left_to_right,8,player_possession,149882,K. Abello,2,LB,2334,Orlando Pride,-0.04,30.79,1,wide_left,2,middle_third,False,13.36,22.07,1,wide_left,2,middle_third,False,3,drawing,0,0,5,1,True,False,True,True,1,False,2,finish,8,low_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,18.15,-33.05,1,forward,False,False,12.02,1,jogging,1.22,1.3,0.08,20.68,27.76,20.72,14.4,-6.32,31.82,24.74,-7.08,True,True,2,pass_interception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_10,False,151151,H. McCutcheon,12.0,LM,2.7,24.6,1,wide_left,2,middle_third,False,2.75,27.77,1,wide_left,2,middle_third,False,0.9967,False,0.0017,False,6,2,0,0,0,0,3,1,0,4,1,2,2,0,4,3,4,False,,,,,,,,,,10.96,1,short,166.65,2,backward,9.9,1,short,-171.76,2,backward,False,7,9,-2,7,8,1,True,True,True,True,False
8_5,5,1875301,468,486,00:38.8,00:40.6,0,38,1.8,1,1,left_to_right,8,player_possession,151151,H. McCutcheon,12,LM,2334,Orlando Pride,2.75,27.77,1,wide_left,2,middle_third,False,-0.02,28.07,1,wide_left,2,middle_third,False,3,drawing,0,0,6,1,False,False,False,True,2,True,1,create,9,medium_block,5,chaotic,5,chaotic,2,finish,8,low_block,,,,,False,False,3.43,173.82,2,backward,False,False,6.9,1,jogging,8.2,3.27,-4.94,26.61,23.27,23.86,23.29,-0.57,25.89,29.23,3.34,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-171.76,2,backward,9.9,1,short,1,successful,7_11,False,149954,K. Strom,4.0,LCB,-11.93,26.25,1,wide_left,2,middle_third,False,-14.93,26.88,1,wide_left,2,middle_third,False,0.9984,False,0.0003,False,3,0,0,0,0,0,0,0,0,3,0,1,3,0,0,6,6,True,523.0,3,False,False,False,,,,,12.05,1,short,-171.31,2,backward,9.98,1,short,-177.07,2,backward,False,9,10,-1,9,9,0,True,True,True,True,False
8_6,6,1875301,500,532,00:42.0,00:45.2,0,42,3.2,1,1,left_to_right,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-14.93,26.88,1,wide_left,2,middle_third,False,-13.78,22.52,1,wide_left,2,middle_third,False,3,drawing,0,0,6,2,False,True,True,False,2,True,1,create,9,medium_block,5,chaotic,5,chaotic,2,finish,8,low_block,,,12,throw_in_against,False,False,5.84,-75.22,4,sideway_right,False,False,6.52,1,jogging,11.55,5.49,-6.05,19.67,12.85,34.6,26.63,-7.97,32.83,39.65,6.82,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-177.07,2,backward,9.98,1,short,2,unsuccessful,7_18,,63540,Adriana,16.0,LW,10.71,20.32,1,wide_left,2,middle_third,False,,,,,,,,0.8551,False,0.0053,False,5,0,4,3,1,0,4,0,0,5,0,2,2,1,4,7,8,True,442.0,3,True,True,False,2,second_last,1,through,24.59,2,medium,-5.13,1,forward,,,,,,,True,10,4,6,10,10,0,True,True,True,,False
8_7,7,1875301,674,674,00:59.4,00:59.4,0,59,0.0,1,2,right_to_left,8,player_possession,119153,T. Rodman,17,RW,2333,Washington,-15.05,-33.27,5,wide_right,2,middle_third,False,-15.05,-33.27,5,wide_right,2,middle_third,False,3,drawing,0,0,7,1,True,True,True,True,2,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,9,medium_block,1,create,11,throw_in_for,,,False,False,0.0,-89.37,4,sideway_right,,,6.38,1,jogging,2.07,2.07,0.0,-1.23,-1.23,13.82,13.82,0.0,53.73,53.73,0.0,False,False,7,throw_in_reception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,7_21,,815170,H. Hershfelt,14.0,RM,-24.15,-25.69,5,wide_right,1,defensive_third,False,,,,,,,,0.5295,True,0.0001,False,4,0,0,0,0,0,1,0,0,1,3,,,,,2,2,False,,,,,,,,,,11.84,1,short,140.21,2,backward,,,,,,,False,6,9,-3,6,6,0,True,True,,True,False
8_8,8,1875301,702,711,01:02.2,01:03.1,1,2,0.9,1,1,left_to_right,8,player_possession,149882,K. Abello,2,LB,2334,Orlando Pride,10.62,31.23,1,wide_left,2,middle_third,False,9.16,30.86,1,wide_left,2,middle_third,False,3,drawing,0,0,8,2,True,False,False,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,12,throw_in_against,False,False,1.4,-165.78,2,backward,,,6.02,1,jogging,2.53,2.28,-0.25,30.78,29.45,20.16,20.29,0.13,21.72,23.05,1.33,False,False,4,recovery,1,pass,False,True,False,False,False,False,False,,,,,,,2,unsuccessful,7_24,,22542,Marta,19.0,CF,16.93,24.52,1,wide_left,2,middle_third,False,,,,,,,,0.5826,True,0.0059,False,2,0,0,0,0,0,2,0,0,0,2,1,2,1,2,6,6,False,,,,,,,,,,10.03,1,short,-39.21,1,forward,,,,,,,True,8,6,2,8,8,0,True,True,,True,False
8_9,9,1875301,877,898,01:19.7,01:21.8,1,19,2.1,1,1,left_to_right,8,player_possession,63540,Adriana,16,LW,2334,Orlando Pride,-4.8,30.11,1,wide_left,2,middle_third,False,-6.68,32.86,1,wide_left,2,middle_third,False,3,drawing,0,0,10,3,False,True,True,False,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,12,throw_in_against,,,False,False,3.45,124.36,3,sideway_left,False,False,5.98,1,jogging,2.29,2.78,0.49,15.98,11.95,20.78,18.63,-2.15,36.52,40.55,4.03,True,False,13,unknown,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_26,,22542,Marta,19.0,CF,3.38,25.38,1,wide_left,2,middle_third,False,,,,,,,,0.5066,True,0.0044,False,3,0,0,0,0,0,2,0,0,0,3,3,2,2,2,5,5,False,,,,,,,,,,12.54,1,short,-36.63,1,forward,,,,,,,True,7,5,2,7,7,0,True,True,,True,False
